PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,RankDiff,OddsDiff,OddsRatio
Bagnis F.,Kecmanovic M.,92,49,0,9.0,1.11,7.56,1.09,0,2,-2,-43,-6.47,6.935779816513761
Broady L.,Cecchinato M.,143,86,1,1.44,3.35,1.37,3.1,1,0,1,-57,1.73,0.44193548387096776
Carballes Baena R.,Pospisil V.,100,65,0,4.33,1.27,3.98,1.25,0,1,-1,-35,-2.73,3.184
Tiafoe F.,Tsitsipas S.,57,4,1,6.5,1.2,5.5,1.15,2,1,1,-53,-4.35,4.782608695652175
Hanfmann Y.,Vesely J.,99,72,0,2.75,1.57,2.52,1.53,1,2,-1,-27,-0.99,1.6470588235294117
Koepfer D.,Opelka R.,62,32,1,2.5,1.67,2.33,1.61,3,1,2,-30,-0.72,1.4472049689440993
Djokovic N.,Federer R.,1,3,1,1.6,2.66,1.54,2.56,28,22,6,2,1.02,0.6015625
Bautista Agut R.,Djokovic N.,22,1,0,10.44,1.12,8.57,1.08,3,6,-3,-21,-7.49,7.935185185185185
Federer R.,Nadal R.,3,2,1,2.3,1.77,2.18,1.71,17,24,-7,-1,-0.4700000000000002,1.2748538011695907
Nadal R.,Querrey S.,2,65,1,1.17,6.55,1.14,5.91,4,1,3,63,4.7700000000000005,0.1928934010152284
Federer R.,Nishikori K.,3,7,1,1.16,7.45,1.12,6.5,8,3,5,4,5.38,0.17230769230769233
Bautista Agut R.,Pella G.,22,26,1,1.25,5.72,1.18,4.96,4,0,4,4,3.7800000000000002,0.2379032258064516
Djokovic N.,Goffin D.,1,23,1,1.09,12.0,1.07,9.4,7,1,6,22,8.33,0.11382978723404255
Querrey S.,Sandgren T.,65,94,1,1.2,6.14,1.16,5.36,1,1,0,29,4.2,0.21641791044776115
Pella G.,Raonic M.,26,17,1,6.16,1.2,5.17,1.17,1,0,1,-9,-4.0,4.418803418803419
Kukushkin M.,Nishikori K.,58,7,0,8.36,1.13,6.91,1.11,0,9,-9,-51,-5.8,6.225225225225225
Goffin D.,Verdasco F.,23,37,1,1.34,3.91,1.31,3.52,4,3,1,14,2.21,0.37215909090909094
Berrettini M.,Federer R.,20,3,0,9.04,1.12,7.27,1.1,1,2,-1,-17,-6.17,6.6090909090909085
Djokovic N.,Humbert U.,1,66,1,1.04,26.5,1.02,17.58,1,0,1,65,16.56,0.05802047781569967
Nadal R.,Sousa J.,2,69,1,1.05,26.5,1.02,16.23,3,0,3,67,15.21,0.06284658040665435
Bautista Agut R.,Paire B.,22,32,1,1.26,5.07,1.21,4.43,2,0,2,10,3.2199999999999998,0.27313769751693
Berrettini M.,Schwartzman D.,20,24,1,1.37,3.6,1.32,3.4,1,1,0,4,2.08,0.38823529411764707
Evans D.,Sousa J.,61,69,0,1.44,3.47,1.39,3.04,0,1,-1,8,1.6500000000000001,0.4572368421052631
Kukushkin M.,Struff J.L.,58,33,1,4.56,1.26,4.18,1.23,1,2,-1,-25,-2.9499999999999997,3.398373983739837
Nadal R.,Tsonga J.W.,2,72,1,1.2,5.71,1.17,5.12,9,4,5,70,3.95,0.22851562499999997
Johnson S.,Nishikori K.,71,7,0,4.75,1.25,4.41,1.21,0,5,-5,-64,-3.2,3.644628099173554
Federer R.,Pouille L.,3,28,1,1.1,10.2,1.07,8.59,2,0,2,25,7.52,0.12456344586728756
Fognini F.,Sandgren T.,10,94,0,1.35,4.1,1.31,3.51,2,2,0,84,2.1999999999999997,0.37321937321937326
Millman J.,Querrey S.,64,65,0,4.5,1.31,3.91,1.26,0,1,-1,1,-2.6500000000000004,3.1031746031746033
