PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA,WinRateB
Djokovic N.,Pavlasek A.,4,136,1,1.02,34.25,1.01,20.04,1,0,1,117,18,1,1,0.8666666666666667,0.5
Federer R.,Lajovic D.,5,79,1,1.02,46.75,1.01,21.21,2,0,2,187,26,6,18,0.8779342723004695,0.25
Edmund K.,Monfils G.,50,14,0,4.9,1.25,4.27,1.22,1,1,0,12,19,46,36,0.3870967741935484,0.5609756097560976
Del Potro J.M.,Gulbis E.,32,589,0,1.14,7.5,1.12,6.16,3,3,0,35,17,15,24,0.6730769230769231,0.38461538461538464
Darcis S.,Ferrer D.,61,39,0,3.15,1.45,2.97,1.4,0,3,-3,14,18,42,25,0.4375,0.6268656716417911
Simon G.,Thiem D.,36,8,0,5.05,1.25,4.26,1.23,2,9,-7,50,41,15,18,0.5494505494505495,0.45454545454545453
Donaldson J.,Lorenzi P.,67,33,1,1.67,2.51,1.58,2.38,1,0,1,6,8,5,21,0.42857142857142855,0.19230769230769232
Raonic M.,Youzhny M.,7,82,1,1.07,14.5,1.05,9.97,3,1,2,53,26,61,46,0.6708860759493671,0.5700934579439252
Berdych T.,Harrison R.,15,41,1,1.17,7.75,1.12,6.24,4,0,4,68,30,13,23,0.6938775510204082,0.3611111111111111
Kukushkin M.,Zverev M.,118,30,0,5.05,1.24,4.53,1.2,1,3,-2,14,24,30,30,0.3684210526315789,0.5
Ofner S.,Sock J.,216,18,1,6.7,1.17,5.89,1.14,1,0,1,7,9,17,13,0.4375,0.5666666666666667
Ramos-Vinolas A.,Rublev A.,22,95,1,1.69,2.4,1.63,2.28,1,3,-2,5,15,20,11,0.25,0.6451612903225806
Mannarino A.,Sugita Y.,51,44,1,2.05,1.95,1.97,1.83,3,1,2,71,52,15,16,0.5772357723577236,0.4838709677419355
Khachanov K.,Monteiro T.,34,100,1,1.12,8.75,1.1,6.97,4,0,4,28,17,2,7,0.6222222222222222,0.2222222222222222
Muller G.,Rosol L.,26,214,1,1.17,6.95,1.13,5.88,1,2,-1,44,35,8,13,0.5569620253164557,0.38095238095238093
Fognini F.,Vesely J.,29,48,1,1.74,2.45,1.62,2.3,3,2,1,25,24,24,17,0.5102040816326531,0.5853658536585366
Herbert P.H.,Paire B.,70,46,0,2.0,1.97,1.92,1.88,1,3,-2,14,16,24,28,0.4666666666666667,0.46153846153846156
Bolelli S.,Tsonga J.W.,312,10,0,9.75,1.1,7.74,1.09,0,4,-4,16,16,49,23,0.5,0.6805555555555556
Anderson K.,Seppi A.,42,87,1,1.33,4.0,1.29,3.61,2,0,2,47,29,60,48,0.618421052631579,0.5555555555555556
Nadal R.,Young D.,2,43,1,1.08,13.5,1.05,10.54,3,0,3,76,21,15,23,0.7835051546391752,0.39473684210526316
Cilic M.,Mayer F.,6,114,1,1.11,10.75,1.09,7.66,4,2,2,78,32,39,26,0.7090909090909091,0.6
Bemelmans R.,Medvedev D.,124,49,1,6.85,1.17,5.74,1.14,1,0,1,6,14,51,24,0.3,0.68
Brown D.,Murray A.,97,1,0,10.5,1.12,7.91,1.08,0,2,-2,18,23,107,31,0.43902439024390244,0.7753623188405797
Janowicz J.,Pouille L.,141,16,1,3.55,1.41,3.11,1.37,1,1,0,16,10,20,16,0.6153846153846154,0.5555555555555556
Albot R.,Johnson S.,108,31,0,5.8,1.2,4.88,1.18,3,1,2,8,16,38,30,0.3333333333333333,0.5588235294117647
Nishikori K.,Stakhovsky S.,9,122,1,1.21,6.1,1.16,5.2,1,2,-1,38,27,24,27,0.5846153846153846,0.47058823529411764
Bedene A.,Dzumhur D.,58,83,1,1.4,3.5,1.35,3.21,1,0,1,13,22,10,10,0.37142857142857144,0.5
Basilashvili N.,Querrey S.,54,28,0,5.25,1.23,4.67,1.19,0,2,-2,15,18,78,45,0.45454545454545453,0.6341463414634146
Bautista Agut R.,Gojowczyk P.,19,140,1,1.21,6.0,1.17,5.03,4,0,4,44,21,12,14,0.676923076923077,0.46153846153846156
Lorenzi P.,Zeballos H.,33,52,1,2.3,1.76,2.16,1.7,1,0,1,5,21,2,11,0.19230769230769232,0.15384615384615385
Donaldson J.,Tipsarevic J.,67,63,1,3.8,1.37,3.45,1.31,1,0,1,6,8,36,33,0.42857142857142855,0.5217391304347826
Djokovic N.,Klizan M.,4,47,1,1.04,23.25,1.03,13.88,4,1,3,117,18,4,12,0.8666666666666667,0.25
Garin C.,Sock J.,220,18,0,5.5,1.22,5.78,1.18,1,1,0,9,10,17,13,0.47368421052631576,0.5666666666666667
Berdych T.,Chardy J.,15,71,1,1.22,4.85,1.2,4.52,5,1,4,68,30,29,34,0.6938775510204082,0.4603174603174603
Haase R.,Tiafoe F.,38,64,0,1.52,2.95,1.47,2.65,0,1,-1,22,33,23,19,0.4,0.5476190476190477
Escobedo E.,Pavlasek A.,74,136,0,1.45,3.15,1.42,2.88,0,1,-1,2,4,1,1,0.3333333333333333,0.5
Ferrer D.,Gasquet R.,39,27,1,8.5,1.15,6.65,1.11,10,3,7,42,25,74,41,0.6268656716417911,0.6434782608695652
Daniel T.,Kukushkin M.,92,118,0,3.0,1.51,2.76,1.44,0,1,-1,0,10,14,24,0.0,0.3684210526315789
Edmund K.,Ward A.,50,869,1,1.15,9.0,1.11,6.58,1,0,1,12,19,0,3,0.3870967741935484,0.0
Del Potro J.M.,Kokkinakis T.,32,486,1,1.27,5.25,1.2,4.53,1,0,1,35,17,5,7,0.6730769230769231,0.4166666666666667
Albot R.,Bagnis F.,108,107,1,1.21,5.75,1.18,4.93,1,0,1,8,16,0,5,0.3333333333333333,0.0
Lopez F.,Mannarino A.,25,51,0,1.24,5.6,1.2,4.57,2,2,0,87,52,71,52,0.6258992805755396,0.5772357723577236
Granollers M.,Sela D.,112,90,0,3.85,1.34,3.52,1.3,0,2,-2,17,21,26,28,0.4473684210526316,0.48148148148148145
Berankis R.,Darcis S.,196,61,0,3.05,1.5,2.79,1.43,0,1,-1,5,19,14,18,0.20833333333333334,0.4375
Rublev A.,Travaglia S.,95,155,1,1.26,4.7,1.22,4.26,1,0,1,20,11,1,5,0.6451612903225806,0.16666666666666666
Klein B.,Sugita Y.,232,44,0,5.8,1.2,4.95,1.18,0,1,-1,1,5,15,16,0.16666666666666666,0.4838709677419355
Bellucci T.,Ofner S.,55,216,0,1.51,3.15,1.44,2.78,0,1,-1,6,11,7,9,0.35294117647058826,0.4375
Pospisil V.,Thiem D.,73,8,0,3.2,1.48,2.85,1.42,0,2,-2,19,28,15,18,0.40425531914893614,0.45454545454545453
Tomic B.,Zverev M.,59,30,0,1.87,2.11,1.81,2.0,1,1,0,35,30,30,30,0.5384615384615384,0.5
Estrella Burgos V.,Gulbis E.,96,589,0,2.25,1.77,2.13,1.71,0,1,-1,4,13,15,24,0.23529411764705882,0.38461538461538464
Lajovic D.,Tsitsipas S.,79,192,1,2.05,1.95,1.96,1.83,1,3,-2,6,18,23,18,0.25,0.5609756097560976
Baghdatis M.,Ward J.,65,1085,1,1.26,5.0,1.23,4.19,2,0,2,53,39,11,31,0.5760869565217391,0.2619047619047619
Dimitrov G.,Schwartzman D.,11,37,1,1.09,12.0,1.07,8.73,3,2,1,46,32,10,16,0.5897435897435898,0.38461538461538464
Jarry N.,Simon G.,182,36,0,4.2,1.32,3.71,1.28,0,2,-2,9,11,50,41,0.45,0.5494505494505495
Fritz T.,Isner J.,128,21,0,3.6,1.38,3.26,1.34,3,3,0,41,24,51,28,0.6307692307692307,0.6455696202531646
Donskoy E.,Zverev A.,98,12,0,11.75,1.09,8.55,1.07,0,2,-2,4,12,45,22,0.25,0.6716417910447762
Mahut N.,Youzhny M.,78,82,0,1.59,2.65,1.53,2.51,0,4,-4,67,41,61,46,0.6203703703703703,0.5700934579439252
Brands D.,Monfils G.,215,14,0,8.25,1.14,6.74,1.11,3,2,1,7,10,46,36,0.4117647058823529,0.5609756097560976
Coric B.,Harrison R.,45,41,0,1.89,2.2,1.78,2.04,0,1,-1,12,14,13,23,0.46153846153846156,0.3611111111111111
Raonic M.,Struff J.L.,7,53,1,1.13,8.25,1.11,6.67,2,1,1,53,26,26,33,0.6708860759493671,0.4406779661016949
Ramos-Vinolas A.,Thompson J.,22,86,1,2.4,1.8,2.15,1.7,3,0,3,5,15,32,31,0.25,0.5079365079365079
Dolgopolov O.,Federer R.,84,5,0,32.75,1.03,18.65,1.01,0,5,-5,23,20,187,26,0.5348837209302325,0.8779342723004695
Fognini F.,Tursunov D.,29,715,1,1.14,7.05,1.11,6.4,1,1,0,25,24,37,29,0.5102040816326531,0.5606060606060606
Millman J.,Nadal R.,137,2,0,15.75,1.06,11.7,1.04,0,2,-2,13,18,76,21,0.41935483870967744,0.7835051546391752
Norrie C.,Tsonga J.W.,221,10,0,22.0,1.04,13.43,1.03,0,1,-1,22,21,49,23,0.5116279069767442,0.6805555555555556
Bublik A.,Murray A.,135,1,0,15.0,1.06,11.86,1.04,2,3,-1,38,19,107,31,0.6666666666666666,0.7753623188405797
Cecchinato M.,Nishikori K.,102,9,0,17.0,1.06,11.76,1.04,0,1,-1,2,9,38,27,0.18181818181818182,0.5846153846153846
Cilic M.,Kohlschreiber P.,6,60,1,1.18,6.45,1.16,5.28,4,8,-4,78,32,60,41,0.7090909090909091,0.594059405940594
Dzumhur D.,Olivo R.,83,89,1,1.38,3.55,1.33,3.28,1,0,1,10,10,0,1,0.5,0.0
Bautista Agut R.,Haider-Maurer A.,19,1039,1,1.04,22.25,1.03,13.21,1,0,1,44,21,4,10,0.676923076923077,0.2857142857142857
Fucsovics M.,Muller G.,109,26,0,7.25,1.15,5.96,1.13,0,1,-1,18,19,44,35,0.4864864864864865,0.5569620253164557
Fabbiano T.,Querrey S.,91,28,0,6.25,1.2,4.97,1.18,0,2,-2,8,6,78,45,0.5714285714285714,0.6341463414634146
Johnson S.,Kicker N.,31,94,1,1.05,16.0,1.03,12.55,1,0,1,38,30,0,1,0.5588235294117647,0.0
Basilashvili N.,Berlocq C.,54,80,1,1.56,2.62,1.52,2.53,1,0,1,15,18,6,17,0.45454545454545453,0.2608695652173913
Mayer F.,Troicki V.,114,40,1,1.61,2.6,1.55,2.44,4,1,3,39,26,33,30,0.6,0.5238095238095238
Herbert P.H.,Kyrgios N.,70,20,1,6.6,1.17,5.46,1.15,1,1,0,14,16,34,19,0.4666666666666667,0.6415094339622641
Jaziri M.,Pouille L.,77,16,0,9.75,1.1,7.9,1.08,0,1,-1,7,18,20,16,0.28,0.5555555555555556
Gombos N.,Seppi A.,93,87,0,5.0,1.24,4.56,1.2,0,1,-1,0,5,60,48,0.0,0.5555555555555556
Benneteau J.,Stakhovsky S.,81,122,0,2.22,1.82,2.09,1.74,1,3,-2,35,39,24,27,0.47297297297297297,0.47058823529411764
Laaksonen H.,Rosol L.,104,214,0,3.75,1.33,3.56,1.29,0,1,-1,0,2,8,13,0.0,0.38095238095238093
Bemelmans R.,Haas T.,124,258,1,3.0,1.46,2.86,1.42,1,0,1,6,14,45,27,0.3,0.625
Medvedev D.,Wawrinka S.,49,3,1,3.48,1.43,3.18,1.35,3,2,1,51,24,34,33,0.68,0.5074626865671642
Copil M.,Gojowczyk P.,85,140,0,2.06,1.95,1.93,1.87,0,2,-2,6,9,12,14,0.4,0.46153846153846156
Brown D.,Sousa J.,97,62,1,1.49,3.0,1.42,2.86,1,1,0,18,23,14,25,0.43902439024390244,0.358974358974359
Monteiro T.,Whittington A.,100,210,1,4.33,1.29,4.09,1.24,1,0,1,2,7,0,1,0.2222222222222222,0.0
Janowicz J.,Shapovalov D.,141,164,1,1.95,2.16,1.8,2.01,1,0,1,16,10,21,23,0.6153846153846154,0.4772727272727273
Bolelli S.,Lu Y.H.,312,75,1,1.42,3.35,1.37,3.08,1,1,0,16,16,27,34,0.5,0.4426229508196721
Dutra Silva R.,Paire B.,473,46,0,6.95,1.17,5.47,1.15,0,1,-1,0,5,24,28,0.0,0.46153846153846156
Anderson K.,Verdasco F.,42,35,1,1.62,2.6,1.56,2.44,4,5,-1,47,29,51,43,0.618421052631579,0.5425531914893617
Istomin D.,Young D.,72,43,0,2.46,1.74,2.25,1.64,2,2,0,35,32,15,23,0.5223880597014925,0.39473684210526316
Marchenko I.,Vesely J.,117,48,0,2.75,1.54,2.58,1.5,0,1,-1,6,16,24,17,0.2727272727272727,0.5853658536585366
Khachanov K.,Kuznetsov An.,34,76,1,1.53,2.85,1.47,2.68,2,0,2,28,17,6,11,0.6222222222222222,0.35294117647058826
Bedene A.,Karlovic I.,58,23,1,3.0,1.49,2.75,1.44,4,1,3,13,22,74,44,0.37142857142857144,0.6271186440677966
Murray A.,Raonic M.,2,7,1,4.36,1.3,3.97,1.26,11,5,6,107,31,53,26,0.7753623188405797,0.6708860759493671
Berdych T.,Murray A.,9,2,0,7.5,1.17,6.55,1.12,6,11,-5,68,30,107,31,0.6938775510204082,0.7753623188405797
Federer R.,Raonic M.,3,7,0,1.62,2.66,1.54,2.5,12,3,9,187,26,53,26,0.8779342723004695,0.6708860759493671
Berdych T.,Pouille L.,9,30,1,1.28,4.5,1.24,4.07,1,0,1,68,30,20,16,0.6938775510204082,0.5555555555555556
Querrey S.,Raonic M.,41,7,0,4.0,1.35,3.63,1.29,3,5,-2,78,45,53,26,0.6341463414634146,0.6708860759493671
Cilic M.,Federer R.,13,3,0,4.1,1.33,3.69,1.28,1,10,-9,78,32,187,26,0.7090909090909091,0.8779342723004695
Murray A.,Tsonga J.W.,2,12,1,1.13,8.01,1.1,6.94,13,2,11,107,31,49,23,0.7753623188405797,0.6805555555555556
Berdych T.,Vesely J.,9,64,1,1.3,4.8,1.21,4.32,4,0,4,68,30,24,17,0.6938775510204082,0.5853658536585366
Federer R.,Johnson S.,3,29,1,1.17,6.79,1.14,5.62,3,0,3,187,26,38,30,0.8779342723004695,0.5588235294117647
Kyrgios N.,Murray A.,18,2,0,5.93,1.19,5.27,1.16,1,6,-5,34,19,107,31,0.6415094339622641,0.7753623188405797
Mahut N.,Querrey S.,51,41,0,1.7,2.37,1.64,2.25,2,1,1,67,41,78,45,0.6203703703703703,0.6341463414634146
Gasquet R.,Tsonga J.W.,10,12,0,1.86,2.23,1.77,2.04,4,5,-1,74,41,49,23,0.6434782608695652,0.6805555555555556
Cilic M.,Nishikori K.,13,6,1,2.25,1.78,2.12,1.72,6,10,-4,78,32,38,27,0.7090909090909091,0.5846153846153846
Goffin D.,Raonic M.,11,7,0,5.14,1.23,4.78,1.18,2,3,-1,30,25,53,26,0.5454545454545454,0.6708860759493671
Pouille L.,Tomic B.,30,19,1,3.5,1.39,3.26,1.34,1,0,1,20,16,35,30,0.5555555555555556,0.5384615384615384
Sousa J.,Vesely J.,31,64,0,3.06,1.45,2.85,1.41,0,1,-1,14,25,24,17,0.358974358974359,0.5853658536585366
Gasquet R.,Ramos-Vinolas A.,10,36,1,1.28,7.25,1.12,6.32,2,0,2,74,41,5,15,0.6434782608695652,0.25
Berdych T.,Zverev A.,9,28,1,1.48,3.1,1.42,2.86,3,2,1,68,30,45,22,0.6938775510204082,0.6716417910447762
Kyrgios N.,Lopez F.,18,21,1,1.4,3.51,1.34,3.22,3,2,1,34,19,87,52,0.6415094339622641,0.6258992805755396
Del Potro J.M.,Pouille L.,165,30,0,1.22,5.25,1.18,4.78,0,1,-1,35,17,20,16,0.6730769230769231,0.5555555555555556
Isner J.,Tsonga J.W.,17,12,0,2.26,1.8,2.12,1.72,2,2,0,51,28,49,23,0.6455696202531646,0.6805555555555556
Bautista Agut R.,Tomic B.,15,19,0,1.87,2.21,1.79,1.99,3,1,2,44,21,35,30,0.676923076923077,0.5384615384615384
Cilic M.,Lacko L.,13,123,1,1.12,8.01,1.1,6.93,2,0,2,78,32,19,25,0.7090909090909091,0.4318181818181818
Millman J.,Murray A.,67,2,0,28.25,1.03,18.12,1.01,0,2,-2,13,18,107,31,0.41935483870967744,0.7753623188405797
Kuznetsov An.,Nishikori K.,42,6,0,5.25,1.24,4.65,1.19,0,3,-3,6,11,38,27,0.35294117647058826,0.5846153846153846
Raonic M.,Sock J.,7,26,1,1.18,6.0,1.15,5.34,8,4,4,53,26,17,13,0.6708860759493671,0.5666666666666667
Goffin D.,Istomin D.,11,116,1,1.19,5.75,1.17,5.04,1,0,1,30,25,35,32,0.5454545454545454,0.5223880597014925
Herbert P.H.,Mahut N.,81,51,0,3.55,1.39,3.28,1.33,0,1,-1,14,16,67,41,0.4666666666666667,0.6203703703703703
Dimitrov G.,Johnson S.,37,29,0,1.83,2.27,1.69,2.15,6,3,3,46,32,38,30,0.5897435897435898,0.5588235294117647
Djokovic N.,Querrey S.,1,41,0,1.02,39.75,1.01,20.78,7,2,5,117,18,78,45,0.8666666666666667,0.6341463414634146
Youzhny M.,Zverev A.,70,28,0,4.85,1.26,4.28,1.21,0,3,-3,61,46,45,22,0.5700934579439252,0.6716417910447762
Brown D.,Kyrgios N.,85,18,0,9.35,1.1,7.81,1.08,0,1,-1,18,23,34,19,0.43902439024390244,0.6415094339622641
Fognini F.,Lopez F.,35,21,0,4.14,1.3,3.86,1.25,1,3,-2,25,24,87,52,0.5102040816326531,0.6258992805755396
Evans D.,Federer R.,91,3,0,18.75,1.04,14.82,1.03,0,4,-4,20,27,187,26,0.425531914893617,0.8779342723004695
Becker B.,Berdych T.,102,9,0,9.35,1.14,7.49,1.08,1,6,-5,36,30,68,30,0.5454545454545454,0.6938775510204082
Monaco J.,Tsonga J.W.,97,12,0,6.5,1.18,5.52,1.14,0,5,-5,6,10,49,23,0.375,0.6805555555555556
Pouille L.,Young D.,30,69,1,1.85,2.23,1.72,2.1,1,2,-1,20,16,15,23,0.5555555555555556,0.39473684210526316
Barton M.,Isner J.,248,17,0,11.8,1.09,9.16,1.06,0,1,-1,1,1,51,28,0.5,0.6455696202531646
Del Potro J.M.,Wawrinka S.,165,5,1,3.0,1.53,2.66,1.47,4,3,1,35,17,34,33,0.6730769230769231,0.5074626865671642
Chardy J.,Johnson S.,34,29,0,2.5,1.63,2.41,1.56,0,1,-1,29,34,38,30,0.4603174603174603,0.5588235294117647
Baghdatis M.,Isner J.,40,17,0,3.25,1.44,3.0,1.38,0,8,-8,53,39,51,28,0.5760869565217391,0.6455696202531646
Almagro N.,Istomin D.,47,116,0,3.1,1.45,2.89,1.4,0,6,-6,11,15,35,32,0.4230769230769231,0.5223880597014925
Thiem D.,Vesely J.,8,64,0,1.15,7.0,1.12,6.08,2,1,1,15,18,24,17,0.45454545454545453,0.5853658536585366
Bautista Agut R.,Kukushkin M.,15,57,1,1.17,6.87,1.12,6.07,4,1,3,44,21,14,24,0.676923076923077,0.3684210526315789
Gasquet R.,Granollers M.,10,340,1,1.1,9.87,1.08,8.01,4,0,4,74,41,17,21,0.6434782608695652,0.4473684210526316
Novikov D.,Sousa J.,145,31,0,2.8,1.52,2.68,1.46,0,1,-1,3,5,14,25,0.375,0.358974358974359
Albot R.,Tomic B.,110,19,0,9.0,1.12,7.38,1.09,0,1,-1,8,16,35,30,0.3333333333333333,0.5384615384615384
Dimitrov G.,Simon G.,37,20,1,2.05,1.92,1.95,1.83,4,4,0,46,32,50,41,0.5897435897435898,0.5494505494505495
Benneteau J.,Nishikori K.,547,6,0,9.0,1.13,7.24,1.09,1,4,-3,35,39,38,27,0.47297297297297297,0.5846153846153846
Cilic M.,Stakhovsky S.,13,94,1,1.22,4.85,1.2,4.51,5,0,5,78,32,24,27,0.7090909090909091,0.47058823529411764
Youzhny M.,Zeballos H.,70,83,1,1.13,8.77,1.1,6.86,2,0,2,61,46,2,11,0.5700934579439252,0.15384615384615385
Copil M.,Pouille L.,174,30,0,1.77,2.35,1.65,2.21,1,2,-1,6,9,20,16,0.4,0.5555555555555556
Mayer L.,Young D.,90,69,0,2.05,1.91,1.93,1.85,2,2,0,16,19,15,23,0.45714285714285713,0.39473684210526316
Dzumhur D.,Herbert P.H.,87,81,0,4.0,1.34,3.67,1.27,1,1,0,10,10,14,16,0.5,0.4666666666666667
Karlovic I.,Lacko L.,32,123,0,1.24,4.75,1.2,4.39,2,1,1,74,44,19,25,0.6271186440677966,0.4318181818181818
Haase R.,Sock J.,98,26,0,5.0,1.22,4.54,1.19,0,3,-3,22,33,17,13,0.4,0.5666666666666667
Delbonis F.,Fognini F.,38,35,0,3.4,1.38,3.23,1.34,3,5,-2,0,12,25,24,0.0,0.5102040816326531
Ramos-Vinolas A.,Troicki V.,36,27,1,4.5,1.29,4.1,1.23,3,0,3,5,15,33,30,0.25,0.5238095238095238
Barton M.,Olivetti A.,248,793,1,1.53,2.7,1.5,2.58,1,0,1,1,1,0,2,0.5,0.0
Millman J.,Paire B.,67,23,1,2.25,1.75,2.14,1.69,1,2,-1,13,18,24,28,0.41935483870967744,0.46153846153846156
Lu Y.H.,Murray A.,76,2,0,29.75,1.02,17.73,1.01,0,4,-4,27,34,107,31,0.4426229508196721,0.7753623188405797
Ferrer D.,Mahut N.,14,51,0,1.72,2.33,1.65,2.22,1,1,0,42,25,67,41,0.6268656716417911,0.6203703703703703
Bellucci T.,Querrey S.,62,41,0,5.25,1.22,4.66,1.17,1,1,0,6,11,78,45,0.35294117647058826,0.6341463414634146
Kuznetsov An.,Muller G.,42,39,1,2.45,1.66,2.31,1.6,1,0,1,6,11,44,35,0.35294117647058826,0.5569620253164557
Goffin D.,Roger-Vasselin E.,11,186,1,1.13,8.05,1.1,6.81,1,0,1,30,25,16,19,0.5454545454545454,0.45714285714285713
Raonic M.,Seppi A.,7,45,1,1.14,8.0,1.11,6.57,1,0,1,53,26,60,48,0.6708860759493671,0.5555555555555556
Dolgopolov O.,Evans D.,33,91,0,1.41,3.3,1.36,3.11,0,1,-1,23,20,20,27,0.5348837209302325,0.425531914893617
Mathieu P.H.,Zverev A.,59,28,0,6.34,1.2,5.38,1.15,1,1,0,22,31,45,22,0.41509433962264153,0.6716417910447762
Federer R.,Willis M.,3,772,1,1.03,26.0,1.01,17.83,1,0,1,187,26,1,1,0.8779342723004695,0.5
Mayer F.,Thiem D.,80,8,0,3.56,1.38,3.24,1.34,1,1,0,39,26,15,18,0.6,0.45454545454545453
Sijsling I.,Vesely J.,118,64,0,2.23,1.83,2.08,1.73,0,3,-3,10,13,24,17,0.43478260869565216,0.5853658536585366
Djokovic N.,Mannarino A.,1,55,1,1.02,46.0,1.01,23.31,5,0,5,117,18,71,52,0.8666666666666667,0.5772357723577236
Albot R.,Elias G.,110,92,1,1.33,4.13,1.27,3.77,1,1,0,8,16,0,3,0.3333333333333333,0.0
Berdych T.,Dodig I.,9,74,1,1.12,9.35,1.09,7.38,2,0,2,68,30,17,13,0.6938775510204082,0.5666666666666667
Tomic B.,Verdasco F.,19,53,1,1.5,3.28,1.44,2.76,6,1,5,35,30,51,43,0.5384615384615384,0.5425531914893617
Novikov D.,Saville L.,145,221,1,1.67,2.62,1.57,2.37,1,0,1,3,5,2,4,0.375,0.3333333333333333
Broady L.,Murray A.,235,2,0,51.0,1.02,26.09,1.01,0,1,-1,9,18,107,31,0.3333333333333333,0.7753623188405797
Bagnis F.,Becker B.,96,102,0,10.75,1.1,9.14,1.06,0,1,-1,0,5,36,30,0.0,0.5454545454545454
Kudryavtsev A.,Lu Y.H.,179,76,0,6.59,1.18,5.25,1.15,0,1,-1,0,2,27,34,0.0,0.4426229508196721
Lamasine T.,Troicki V.,204,27,0,9.35,1.1,7.87,1.08,0,1,-1,0,1,33,30,0.0,0.5238095238095238
Bedene A.,Gasquet R.,56,10,0,9.87,1.1,7.91,1.08,0,2,-2,13,22,74,41,0.37142857142857144,0.6434782608695652
Bautista Agut R.,Thompson J.,15,88,1,1.12,8.26,1.1,7.09,1,0,1,44,21,32,31,0.676923076923077,0.5079365079365079
Lopez F.,Ram R.,21,72,1,1.24,5.0,1.2,4.46,2,0,2,87,52,18,17,0.6258992805755396,0.5142857142857142
Klizan M.,Kukushkin M.,48,57,0,3.0,1.46,2.86,1.41,1,1,0,4,12,14,24,0.25,0.3684210526315789
Cervantes I.,Tsonga J.W.,75,12,0,13.0,1.14,9.44,1.06,0,1,-1,1,3,49,23,0.25,0.6805555555555556
Del Potro J.M.,Robert S.,165,79,1,1.16,6.5,1.13,5.85,1,0,1,35,17,4,8,0.6730769230769231,0.3333333333333333
Fritz T.,Wawrinka S.,65,5,0,8.67,1.11,7.49,1.09,1,2,-1,41,24,34,33,0.6307692307692307,0.5074626865671642
Pospisil V.,Ramos-Vinolas A.,44,36,0,1.4,4.0,1.33,3.3,0,1,-1,19,28,5,15,0.40425531914893614,0.25
Kyrgios N.,Stepanek R.,18,121,1,1.21,6.02,1.16,5.14,3,0,3,34,19,43,29,0.6415094339622641,0.5972222222222222
Estrella Burgos V.,Granollers M.,77,340,0,4.2,1.31,3.62,1.28,0,1,-1,4,13,17,21,0.23529411764705882,0.4473684210526316
Daniel T.,Monaco J.,114,97,0,4.75,1.25,4.31,1.21,0,1,-1,0,10,6,10,0.0,0.375
Millman J.,Montanes A.,67,120,1,1.12,8.12,1.1,6.97,1,0,1,13,18,6,13,0.41935483870967744,0.3157894736842105
Brown D.,Lajovic D.,85,82,1,1.15,7.0,1.12,6.23,2,0,2,18,23,6,18,0.43902439024390244,0.25
Giraldo S.,Muller G.,129,39,0,10.44,1.12,8.09,1.08,0,2,-2,13,16,44,35,0.4482758620689655,0.5569620253164557
Sousa J.,Tursunov D.,31,453,1,1.46,3.04,1.42,2.81,2,0,2,14,25,37,29,0.358974358974359,0.5606060606060606
Paire B.,Skugor F.,23,194,1,1.45,3.1,1.4,2.93,1,0,1,24,28,0,3,0.46153846153846156,0.0
Cuevas P.,Kuznetsov An.,24,42,0,2.0,2.1,1.83,1.95,0,2,-2,7,11,6,11,0.3888888888888889,0.35294117647058826
Gulbis E.,Sock J.,61,26,0,2.65,1.57,2.48,1.53,2,1,1,15,24,17,13,0.38461538461538464,0.5666666666666667
Nishioka Y.,Stakhovsky S.,122,94,0,4.5,1.28,4.05,1.24,0,1,-1,4,12,24,27,0.25,0.47058823529411764
Goffin D.,Ward A.,11,245,1,1.05,20.71,1.03,12.64,1,0,1,30,25,0,3,0.5454545454545454,0.0
Dimitrov G.,Fratangelo B.,37,112,1,1.35,3.97,1.3,3.5,1,0,1,46,32,3,3,0.5897435897435898,0.5
Ferrer D.,Sela D.,14,63,1,1.23,5.46,1.18,4.81,3,1,2,42,25,26,28,0.6268656716417911,0.48148148148148145
Carreno Busta P.,Raonic M.,46,7,0,29.75,1.02,19.38,1.01,1,3,-2,6,11,53,26,0.35294117647058826,0.6708860759493671
Klein B.,Mahut N.,260,51,0,11.0,1.1,8.76,1.07,0,1,-1,1,5,67,41,0.16666666666666666,0.6203703703703703
Jaziri M.,Johnson S.,60,29,0,5.61,1.19,5.09,1.16,0,1,-1,7,18,38,30,0.28,0.5588235294117647
Baker B.,Cilic M.,589,13,0,15.92,1.05,12.25,1.03,0,1,-1,5,5,78,32,0.5,0.7090909090909091
Coric B.,Karlovic I.,50,32,0,3.4,1.38,3.17,1.35,0,3,-3,12,14,74,44,0.46153846153846156,0.6271186440677966
Edmund K.,Mannarino A.,68,55,0,2.45,1.7,2.31,1.6,1,1,0,12,19,71,52,0.3870967741935484,0.5772357723577236
Garcia-Lopez G.,Seppi A.,58,45,0,3.68,1.36,3.3,1.33,1,6,-5,29,31,60,48,0.48333333333333334,0.5555555555555556
Federer R.,Pella G.,3,52,1,1.02,34.0,1.01,20.58,2,0,2,187,26,11,16,0.8779342723004695,0.4074074074074074
Djokovic N.,Ward J.,1,177,1,1.02,76.0,1.01,26.02,1,0,1,117,18,11,31,0.8666666666666667,0.2619047619047619
