PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA,WinRateB
Caruso S.,Cilic M.,96,37,0,14.0,1.06,11.1,1.04,0,1,-1,0,4,78,32,0.0,0.7090909090909091
Ivashka I.,Munar J.,79,69,1,1.39,3.44,1.36,3.15,1,1,0,12,11,4,13,0.5217391304347826,0.23529411764705882
Sonego L.,Sousa P.,27,121,1,1.06,24.0,1.03,14.59,1,0,1,23,20,0,1,0.5348837209302325,0.0
Chardy J.,Karatsev A.,61,24,1,2.31,1.81,2.19,1.68,1,0,1,29,34,4,8,0.4603174603174603,0.3333333333333333
Kudla D.,Seppi A.,114,90,1,1.69,2.3,1.65,2.24,1,1,0,26,26,60,48,0.5,0.5555555555555556
Humbert U.,Kyrgios N.,25,60,0,1.63,2.63,1.55,2.47,1,2,-1,29,23,34,19,0.5576923076923077,0.6415094339622641
Bonzi B.,Trungelliti M.,119,205,1,1.32,4.91,1.24,4.12,1,0,1,9,12,0,1,0.42857142857142855,0.0
Monfils G.,O Connell C.,17,130,1,2.01,2.13,1.81,2.02,1,0,1,46,36,4,8,0.5609756097560976,0.3333333333333333
Koepfer D.,Kwon S.W.,62,71,1,1.65,2.51,1.58,2.39,2,0,2,5,10,3,6,0.3333333333333333,0.3333333333333333
Murray A.,Otte O.,118,151,1,1.44,3.6,1.34,3.24,1,0,1,107,31,10,8,0.7753623188405797,0.5555555555555556
Tsonga J.W.,Ymer M.,85,98,0,2.0,2.03,1.92,1.89,0,1,-1,49,23,6,7,0.6805555555555556,0.46153846153846156
Alcaraz C.,Uchiyama Y.,75,116,1,1.46,3.52,1.37,3.07,1,0,1,29,3,0,3,0.90625,0.0
Ruud C.,Thompson J.,14,78,0,1.58,2.8,1.5,2.58,3,4,-1,5,9,32,31,0.35714285714285715,0.5079365079365079
Isner J.,Nishioka Y.,33,58,0,1.16,7.24,1.13,5.95,2,1,1,51,28,4,12,0.6455696202531646,0.25
Garin C.,Zapata Miralles B.,20,125,1,1.56,2.81,1.49,2.62,1,1,0,9,10,0,6,0.47368421052631576,0.0
Giron M.,Ruusuvuori E.,66,76,1,1.69,2.47,1.61,2.31,3,1,2,18,17,11,12,0.5142857142857142,0.4782608695652174
Dimitrov G.,Verdasco F.,21,106,1,1.35,4.2,1.26,3.87,5,3,2,46,32,51,43,0.5897435897435898,0.5425531914893617
Broady L.,Schwartzman D.,143,11,0,5.5,1.25,4.36,1.22,1,1,0,9,18,10,16,0.3333333333333333,0.38461538461538464
Berrettini M.,Pella G.,9,59,1,1.04,26.0,1.02,14.9,1,0,1,41,11,11,16,0.7884615384615384,0.4074074074074074
Djere L.,Fognini F.,55,31,0,3.52,1.4,3.2,1.35,3,2,1,8,17,25,24,0.32,0.5102040816326531
Londero J.I.,Mager G.,129,77,0,2.8,1.57,2.58,1.51,0,1,-1,1,3,1,1,0.25,0.5
Fritz T.,Nakashima B.,40,138,1,3.1,1.53,2.91,1.41,2,1,1,41,24,18,14,0.6307692307692307,0.5625
Norrie C.,Pouille L.,34,95,1,1.33,4.6,1.24,4.11,2,1,1,22,21,20,16,0.5116279069767442,0.5555555555555556
Barrere G.,Van De Zandschulp B.,131,139,0,1.68,2.7,1.55,2.45,0,1,-1,6,7,9,10,0.46153846153846156,0.47368421052631576
Coria F.,Galan D.E.,87,112,0,4.8,1.26,4.34,1.22,0,2,-2,0,4,6,5,0.0,0.5454545454545454
Andujar P.,Shapovalov D.,70,12,0,13.0,1.07,9.87,1.06,0,3,-3,3,18,21,23,0.14285714285714285,0.4772727272727273
Fucsovics M.,Vesely J.,48,72,1,1.65,2.62,1.57,2.41,1,0,1,18,19,24,17,0.4864864864864865,0.5853658536585366
