PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff
Griekspoor T.,Kecmanovic M.,27,52,0,1.64,2.6,1.59,2.37,4,1,3
Auger-Aliassime F.,Kokkinakis T.,17,93,0,1.4,3.29,1.37,3.09,0,1,-1
Coria F.,Walton A.,72,101,0,4.29,1.31,3.97,1.25,0,1,-1
Diaz Acosta F.,Norrie C.,67,42,0,13.0,1.08,9.62,1.06,1,2,-1
De Minaur A.,Duckworth J.,9,81,1,1.08,13.99,1.05,10.12,2,0,2
Draper J.,Ymer E.,28,205,1,1.05,17.24,1.03,12.12,1,0,1
Jubb P.,Seyboth Wild T.,201,74,0,1.7,2.35,1.64,2.26,0,1,-1
Bellucci M.,Shelton B.,148,14,0,3.71,1.37,3.35,1.33,0,1,-1
Choinski J.,Darderi L.,174,37,0,3.48,1.39,3.14,1.36,0,1,-1
Korda S.,Mpetshi G.,21,58,0,1.25,4.84,1.21,4.35,0,1,-1
Giron M.,Searle H.,46,539,1,1.19,5.52,1.17,5.1,1,0,1
Albot R.,Hurkacz H.,144,7,0,14.36,1.06,10.99,1.04,1,1,0
Monteiro T.,Popyrin A.,86,47,0,3.66,1.34,3.41,1.32,0,1,-1
Lestienne C.,Musetti L.,92,25,0,8.12,1.14,6.8,1.11,0,1,-1
Cobolli F.,Hijikata R.,48,77,1,2.25,1.74,2.16,1.7,1,0,1
Fils A.,Stricker D.,34,149,1,1.46,3.1,1.42,2.9,1,1,0
Harris B.,Munar J.,116,63,0,1.63,2.61,1.57,2.41,0,1,-1
Borges N.,Nishioka Y.,50,90,0,2.15,1.88,2.03,1.79,0,2,-2
Comesana F.,Rublev A.,122,6,1,24.44,1.04,14.43,1.02,1,0,1
Kwon S.W.,Rune H.,367,15,0,7.03,1.15,6.35,1.12,2,1,1
Carballes Baena R.,Zverev A.,64,4,0,29.0,1.04,17.1,1.02,0,2,-2
Djokovic N.,Kopriva V.,2,123,1,1.04,22.53,1.02,14.74,1,0,1
Fritz T.,O Connell C.,12,79,1,1.1,12.2,1.06,9.6,3,0,3
Etcheverry T.,Nardi L.,31,75,1,1.65,2.5,1.58,2.38,1,0,1
Fearnley J.,Moro Canas A.,277,188,1,1.55,2.84,1.48,2.67,1,0,1
Daniel T.,Tsitsipas S.,84,11,0,12.14,1.11,9.75,1.06,0,2,-2
Gaston H.,Muller A.,71,102,0,1.69,2.43,1.63,2.27,0,1,-1
Ofner S.,Vukic A.,45,69,0,2.25,1.79,2.14,1.71,0,2,-2
Bergs Z.,Cazaux A.,82,98,0,1.45,3.2,1.41,2.93,0,1,-1
Harris L.,Michelsen A.,118,55,1,1.85,2.11,1.77,2.06,1,0,1
Bublik A.,Mensik J.,23,78,1,1.47,3.03,1.44,2.82,1,2,-1
Humbert U.,Shevchenko A.,16,57,1,1.14,7.58,1.12,6.25,2,0,2
Altmaier D.,Fery A.,80,247,1,2.06,1.94,1.96,1.86,1,0,1
Arnaldi M.,Tiafoe F.,35,29,0,2.32,1.79,2.16,1.7,1,1,0
Kotov P.,Thompson J.,53,40,0,4.62,1.29,4.18,1.23,1,1,0
Marozsan F.,Struff J.L.,43,41,0,4.8,1.26,4.3,1.22,1,2,-1
Broady L.,Van De Zandschulp B.,156,97,0,2.47,1.64,2.34,1.6,1,1,0
Kecmanovic M.,Nagal S.,52,73,1,1.12,9.0,1.1,7.22,2,0,2
Berrettini M.,Fucsovics M.,59,70,1,1.21,5.32,1.18,4.9,2,1,1
Martinez P.,Paul T.,49,13,0,19.0,1.05,11.82,1.04,0,4,-4
Hanfmann Y.,Sinner J.,110,1,0,43.93,1.02,21.84,1.01,0,3,-3
Mannarino A.,Monfils G.,24,33,0,2.62,1.6,2.46,1.55,2,6,-4
Purcell M.,Virtanen O.,68,147,0,1.69,2.4,1.62,2.29,0,1,-1
Bautista Agut R.,Marterer M.,112,85,1,1.29,4.22,1.26,3.88,1,0,1
Kovacevic A.,Medvedev D.,88,5,0,23.0,1.04,14.64,1.02,0,1,-1
Baez S.,Nakashima B.,18,65,0,6.0,1.18,5.37,1.16,0,1,-1
Galan D.E.,Griekspoor T.,103,27,0,7.27,1.14,6.32,1.12,0,1,-1
Garin C.,Shang J.,106,91,0,2.1,1.91,1.97,1.84,0,1,-1
Bolt A.,Ruud C.,234,8,0,3.2,1.45,2.97,1.4,0,1,-1
Janvier M.,Zhang Zh.,225,38,0,5.0,1.22,4.59,1.2,0,1,-1
Fognini F.,Van Assche L.,94,104,1,2.2,1.82,2.08,1.75,2,0,2
Dimitrov G.,Lajovic D.,10,56,1,1.05,21.59,1.04,12.61,3,1,2
Navone M.,Sonego L.,32,54,0,9.95,1.09,8.29,1.08,0,2,-2
Broom C.,Wawrinka S.,248,95,0,2.35,1.67,2.3,1.62,0,1,-1
Jarry N.,Shapovalov D.,20,121,0,2.56,1.63,2.41,1.57,0,1,-1
Alcaraz C.,Lajal M.,3,269,1,1.02,43.46,1.01,21.99,1,0,1
Coric B.,Meligeni Alves F.,89,145,1,1.66,2.49,1.59,2.37,1,0,1
Alcaraz C.,Djokovic N.,1,2,1,2.74,1.6,2.54,1.54,3,4,-1
Alcaraz C.,Medvedev D.,1,3,1,1.44,3.3,1.4,3.01,6,2,4
Djokovic N.,Sinner J.,2,8,1,1.28,4.6,1.23,4.36,4,4,0
Eubanks C.,Medvedev D.,43,3,0,6.35,1.21,5.4,1.16,0,2,-2
Alcaraz C.,Rune H.,1,6,1,1.29,4.82,1.23,4.29,1,2,-1
Safiullin R.,Sinner J.,92,8,0,6.61,1.19,5.54,1.15,0,2,-2
Djokovic N.,Rublev A.,2,7,1,1.09,10.82,1.07,8.7,5,1,4
Eubanks C.,Tsitsipas S.,43,5,1,3.51,1.4,3.23,1.35,1,0,1
Alcaraz C.,Berrettini M.,1,38,1,1.45,3.27,1.38,3.06,3,1,2
Dimitrov G.,Rune H.,24,6,0,1.61,2.62,1.55,2.49,2,2,0
Djokovic N.,Hurkacz H.,2,18,1,1.07,12.4,1.06,10.1,8,0,8
Lehecka J.,Medvedev D.,37,3,0,4.3,1.28,3.98,1.25,2,1,1
Bublik A.,Rublev A.,26,7,0,2.05,1.92,1.97,1.85,3,5,-2
Safiullin R.,Shapovalov D.,92,29,1,2.6,1.63,2.44,1.56,1,1,0
Dimitrov G.,Tiafoe F.,24,10,1,2.05,1.92,1.97,1.85,2,2,0
Galan D.E.,Sinner J.,85,8,0,16.79,1.07,12.17,1.04,0,1,-1
Alcaraz C.,Jarry N.,1,28,1,1.14,9.52,1.09,7.82,3,1,2
Djere L.,Tsitsipas S.,60,5,0,5.57,1.22,4.85,1.19,0,4,-4
Eubanks C.,O Connell C.,43,73,1,1.63,2.61,1.53,2.51,1,0,1
Berrettini M.,Zverev A.,38,21,1,2.16,1.86,2.03,1.8,4,3,1
Fucsovics M.,Medvedev D.,67,3,0,5.0,1.35,4.37,1.22,1,4,-3
Lehecka J.,Paul T.,37,15,1,2.26,1.9,2.11,1.75,1,0,1
Davidovich Fokina A.,Rune H.,34,6,0,3.36,1.5,2.92,1.42,1,1,0
Pella G.,Safiullin R.,308,92,0,3.02,1.5,2.83,1.44,0,1,-1
Jarry N.,Kubler J.,28,77,1,1.74,2.44,1.64,2.27,1,0,1
Davidovich Fokina A.,Van De Zandschulp B.,34,44,1,1.6,2.75,1.51,2.58,3,1,2
Fucsovics M.,Giron M.,67,65,1,1.46,3.2,1.41,2.95,2,0,2
Goffin D.,Rublev A.,123,7,0,5.24,1.26,4.6,1.2,0,3,-3
Eubanks C.,Norrie C.,43,13,1,4.0,1.38,3.64,1.29,1,0,1
Broady L.,Shapovalov D.,142,29,0,3.9,1.33,3.58,1.3,0,1,-1
Berrettini M.,De Minaur A.,38,17,1,2.5,1.66,2.39,1.58,3,0,3
