PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff
Sinner J.,Ymer M.,13,88,1,1.23,5.27,1.2,4.63,2,1,1
Humbert U.,Ruud C.,112,6,1,2.5,1.64,2.35,1.59,3,2,1
Kecmanovic M.,Tabilo A.,30,78,1,1.3,4.85,1.23,4.11,1,1,0
Basilashvili N.,Halys Q.,26,82,1,1.77,2.3,1.69,2.18,2,0,2
Opelka R.,Van Rijthoven T.,18,104,0,2.33,1.83,2.12,1.73,0,1,-1
Davidovich Fokina A.,Vesely J.,37,68,0,1.67,2.51,1.59,2.37,0,1,-1
Mannarino A.,Paul T.,86,32,0,2.5,1.74,2.26,1.64,1,1,0
Johnson S.,Peniston R.,93,135,1,2.23,1.84,2.1,1.74,1,0,1
Djokovic N.,Kokkinakis T.,3,79,1,1.06,21.0,1.02,15.05,2,0,2
Baez S.,Goffin D.,35,58,0,2.75,1.62,2.55,1.52,0,1,-1
Bublik A.,Lajovic D.,38,64,1,1.28,5.07,1.21,4.45,1,1,0
Marterer M.,Tiafoe F.,172,28,0,5.0,1.25,4.48,1.2,0,3,-3
Alcaraz C.,Griekspoor T.,7,53,1,1.33,4.0,1.29,3.64,3,0,3
Carballes Baena R.,Thompson J.,87,76,0,10.85,1.08,8.68,1.07,0,1,-1
Jubb P.,Kyrgios N.,219,40,0,9.7,1.11,8.01,1.08,0,1,-1
Krajinovic F.,Lehecka J.,31,72,1,1.39,3.75,1.34,3.25,1,0,1
Rinderknech A.,Shapovalov D.,62,16,0,3.47,1.44,3.14,1.36,2,2,0
Broady L.,Klein L.,132,243,1,1.76,2.28,1.7,2.16,1,0,1
Kudla D.,Sonego L.,75,54,0,2.1,2.0,1.91,1.89,2,1,1
Grenier H.,Huesler M.A.,141,105,1,2.63,1.58,2.48,1.54,1,0,1
Gasquet R.,Sousa J.,69,60,1,1.55,2.85,1.48,2.68,2,1,1
Gaston H.,Popyrin A.,66,83,1,2.88,1.59,2.52,1.53,1,0,1
Kuhn N.,Nakashima B.,261,56,0,11.63,1.11,9.51,1.06,0,1,-1
Martinez P.,Molcan A.,50,51,0,3.1,1.5,2.77,1.45,0,1,-1
Bagnis F.,Novak D.,102,153,0,5.75,1.22,5.12,1.17,0,1,-1
Cerundolo F.,Nadal R.,41,4,0,21.0,1.04,14.7,1.03,0,1,-1
Nishioka Y.,Ruusuvuori E.,101,49,0,6.5,1.16,5.75,1.14,0,4,-4
Ritschard A.,Tsitsipas S.,188,5,0,18.0,1.05,13.16,1.03,0,1,-1
Auger-Aliassime F.,Cressy M.,9,45,0,1.38,3.81,1.31,3.52,2,1,1
Dimitrov G.,Johnson S.,21,93,0,1.24,5.06,1.19,4.64,6,3,3
Kozlov S.,Schwartzman D.,107,15,0,5.5,1.25,4.55,1.2,0,1,-1
Lopez F.,Van De Zandschulp B.,240,25,0,5.5,1.21,4.77,1.19,0,1,-1
Balazs A.,Bautista Agut R.,331,19,0,20.0,1.04,14.85,1.02,0,2,-2
Evans D.,Kubler J.,33,99,0,1.25,4.8,1.21,4.4,0,1,-1
Fritz T.,Musetti L.,14,70,1,1.18,7.25,1.14,5.89,1,2,-1
Laaksonen H.,Peniston R.,96,135,0,5.25,1.29,4.53,1.2,0,1,-1
Brooksby J.,Kukushkin M.,34,164,1,1.51,3.1,1.43,2.83,1,0,1
Bonzi B.,Kolar Z.,47,119,1,1.13,10.08,1.1,7.38,1,0,1
Sock J.,Zapata Miralles B.,103,90,1,1.37,3.6,1.33,3.3,1,0,1
Opelka R.,Taberner C.,18,98,1,1.16,6.41,1.14,5.84,1,0,1
Gray A.,Tseng C.H.,288,95,1,2.4,1.7,2.26,1.64,1,0,1
Baez S.,Daniel T.,35,118,1,1.92,2.1,1.85,1.96,1,0,1
De Minaur A.,Dellien H.,27,80,1,1.05,18.0,1.03,12.82,3,0,3
Bergs Z.,Draper J.,146,94,0,3.84,1.37,3.34,1.33,0,1,-1
Borges N.,McDonald M.,123,55,0,3.95,1.35,3.5,1.31,0,1,-1
Albot R.,Goffin D.,113,58,0,2.72,1.6,2.52,1.53,0,4,-4
Clarke J.,Harrison C.,156,251,0,2.27,1.78,2.16,1.7,0,1,-1
Altmaier D.,Ymer M.,61,88,0,2.05,1.91,1.96,1.85,0,1,-1
Galan D.E.,Koepfer D.,109,117,1,2.45,1.74,2.3,1.62,1,0,1
Giron M.,Rune H.,65,29,1,1.78,2.29,1.71,2.16,2,0,2
Garin C.,Ymer E.,43,137,1,1.59,2.71,1.52,2.52,1,0,1
Berankis R.,Querrey S.,106,157,1,4.88,1.26,4.33,1.22,1,3,-2
Paul T.,Verdasco F.,32,115,1,1.22,5.75,1.19,4.82,1,0,1
Davidovich Fokina A.,Hurkacz H.,37,10,1,7.66,1.18,6.28,1.12,3,2,1
Alcaraz C.,Struff J.L.,7,155,1,1.28,4.45,1.25,3.99,3,1,2
Basilashvili N.,Rosol L.,26,280,1,1.35,3.75,1.3,3.51,2,0,2
Etcheverry T.,Humbert U.,77,112,0,6.65,1.16,5.95,1.13,0,1,-1
Mannarino A.,Purcell M.,86,209,1,1.32,3.9,1.3,3.58,1,1,0
Halys Q.,Paire B.,82,73,1,1.41,3.65,1.34,3.25,1,1,0
Duckworth J.,Murray A.,74,52,0,6.7,1.18,5.37,1.16,0,3,-3
Fognini F.,Griekspoor T.,63,53,0,3.5,1.38,3.26,1.34,0,2,-2
Sinner J.,Wawrinka S.,13,267,1,1.35,3.65,1.31,3.43,4,2,2
Couacaud E.,Isner J.,206,24,0,5.0,1.24,4.41,1.21,0,1,-1
Kecmanovic M.,Millman J.,30,85,1,1.46,3.13,1.4,2.93,3,1,2
Djokovic N.,Kwon S.W.,3,81,1,1.01,34.22,1.01,22.46,2,0,2
Bedene A.,Marterer M.,200,172,0,1.93,2.13,1.8,2.02,1,1,0
Carreno Busta P.,Lajovic D.,20,64,0,1.33,4.13,1.28,3.71,3,1,2
Gojowczyk P.,Otte O.,92,36,0,7.0,1.16,5.87,1.13,0,1,-1
Bublik A.,Fucsovics M.,38,59,1,1.6,2.66,1.53,2.5,4,0,4
Tiafoe F.,Vavassori A.,28,256,1,1.14,8.2,1.1,7.0,1,0,1
Delbonis F.,Van Rijthoven T.,84,104,0,7.75,1.14,6.61,1.11,0,1,-1
Kokkinakis T.,Majchrzak K.,79,91,1,2.17,1.83,2.09,1.75,1,0,1
Djere L.,Tabilo A.,57,78,0,1.53,3.0,1.47,2.72,1,1,0
Coria F.,Vesely J.,67,68,0,12.72,1.09,8.88,1.07,0,1,-1
Monteiro T.,Munar J.,89,71,0,1.68,2.4,1.63,2.28,1,3,-2
Ramos-Vinolas A.,Ruud C.,39,6,0,6.1,1.27,4.78,1.19,3,4,-1
Andujar P.,Norrie C.,100,12,0,24.0,1.05,15.57,1.02,0,1,-1
Berrettini M.,Djokovic N.,9,1,0,5.06,1.27,4.59,1.21,1,4,-3
Berrettini M.,Hurkacz H.,9,18,1,1.47,3.11,1.43,2.88,1,1,0
Djokovic N.,Shapovalov D.,1,12,1,1.13,8.5,1.1,7.4,6,0,6
Khachanov K.,Shapovalov D.,29,12,0,3.82,1.4,3.5,1.31,0,1,-1
Auger-Aliassime F.,Berrettini M.,19,9,0,4.03,1.34,3.7,1.28,2,3,-1
Djokovic N.,Fucsovics M.,1,48,1,1.05,17.0,1.03,13.22,6,0,6
Federer R.,Hurkacz H.,8,18,0,1.47,3.1,1.42,2.9,1,1,0
Hurkacz H.,Medvedev D.,18,2,1,6.13,1.19,5.16,1.16,3,3,0
Berrettini M.,Ivashka I.,9,79,1,1.15,6.77,1.13,6.14,2,0,2
Khachanov K.,Korda S.,29,50,1,1.92,2.06,1.85,1.95,3,3,0
Fucsovics M.,Rublev A.,48,7,1,6.0,1.22,5.27,1.16,1,6,-5
Auger-Aliassime F.,Zverev A.,19,6,1,4.05,1.32,3.67,1.29,1,6,-5
Djokovic N.,Garin C.,1,20,1,1.02,34.0,1.01,19.68,2,0,2
Federer R.,Sonego L.,8,27,1,1.36,3.84,1.3,3.51,2,0,2
Bautista Agut R.,Shapovalov D.,10,12,0,2.36,1.73,2.23,1.66,0,4,-4
Duckworth J.,Sonego L.,91,27,0,3.11,1.48,2.91,1.41,0,2,-2
Bedene A.,Berrettini M.,64,9,0,7.5,1.19,6.37,1.12,1,3,-2
Cilic M.,Medvedev D.,37,2,0,5.75,1.25,5.18,1.17,1,2,-1
Federer R.,Norrie C.,8,34,1,1.52,2.95,1.47,2.71,1,0,1
Fritz T.,Zverev A.,40,6,0,8.25,1.13,7.24,1.1,6,4,2
Auger-Aliassime F.,Kyrgios N.,19,60,1,1.83,2.16,1.77,2.05,2,0,2
Bublik A.,Hurkacz H.,38,18,0,2.4,1.71,2.26,1.65,1,5,-4
Ivashka I.,Thompson J.,79,78,1,1.72,2.35,1.64,2.26,1,0,1
Khachanov K.,Tiafoe F.,29,57,1,2.3,1.78,2.21,1.67,3,0,3
Djokovic N.,Kudla D.,1,114,1,1.03,26.0,1.02,16.74,3,0,3
Fucsovics M.,Schwartzman D.,48,11,1,2.12,1.97,1.97,1.85,1,2,-1
Evans D.,Korda S.,26,50,0,1.83,2.42,1.68,2.2,0,2,-2
Fognini F.,Rublev A.,31,7,0,8.0,1.19,5.88,1.13,4,5,-1
Garin C.,Martinez P.,20,107,1,1.43,3.38,1.39,3.0,4,2,2
Murray A.,Shapovalov D.,118,12,0,4.4,1.3,3.94,1.25,2,1,1
Bautista Agut R.,Koepfer D.,10,62,1,1.4,3.4,1.36,3.15,2,0,2
Federer R.,Gasquet R.,8,56,1,1.25,5.5,1.19,4.63,18,2,16
Martinez P.,Monfils G.,107,17,1,2.9,1.53,2.71,1.46,1,2,-1
Garin C.,Polmans M.,20,154,1,1.42,3.44,1.35,3.19,3,0,3
Bublik A.,Dimitrov G.,38,21,1,1.95,2.04,1.85,1.95,3,3,0
Bonzi B.,Cilic M.,119,37,0,4.5,1.27,4.19,1.23,1,1,0
Giron M.,Hurkacz H.,66,18,0,3.18,1.45,2.95,1.4,0,4,-4
Alcaraz C.,Medvedev D.,75,2,0,14.5,1.09,11.69,1.04,6,2,4
Bedene A.,Nishioka Y.,64,58,1,1.5,3.04,1.45,2.77,1,0,1
Bolt A.,Norrie C.,149,34,0,3.87,1.36,3.54,1.3,0,1,-1
Auger-Aliassime F.,Ymer M.,19,98,1,1.13,9.91,1.09,7.31,2,0,2
Kyrgios N.,Mager G.,60,77,1,1.17,6.75,1.14,5.81,1,0,1
Sandgren T.,Zverev A.,68,6,0,12.08,1.09,9.38,1.06,0,2,-2
Berrettini M.,Van De Zandschulp B.,9,139,1,1.07,17.75,1.05,11.01,3,0,3
Fritz T.,Johnson S.,40,74,1,1.77,2.31,1.69,2.19,5,2,3
Bautista Agut R.,Kecmanovic M.,10,49,1,1.34,4.0,1.29,3.59,5,0,5
Duckworth J.,Querrey S.,91,54,1,4.33,1.32,3.83,1.26,1,1,0
Chardy J.,Ivashka I.,61,79,0,2.36,1.74,2.24,1.65,0,1,-1
Galan D.E.,Sonego L.,112,27,0,11.89,1.11,7.56,1.09,0,2,-2
Nishikori K.,Thompson J.,53,78,0,1.28,4.8,1.23,4.21,3,1,2
Gerasimov E.,Khachanov K.,73,29,0,5.5,1.22,4.81,1.19,0,2,-2
Caruso S.,Cilic M.,96,37,0,14.0,1.06,11.1,1.04,0,1,-1
Ivashka I.,Munar J.,79,69,1,1.39,3.44,1.36,3.15,1,1,0
Sonego L.,Sousa P.,27,121,1,1.06,24.0,1.03,14.59,1,0,1
Chardy J.,Karatsev A.,61,24,1,2.31,1.81,2.19,1.68,1,0,1
Kudla D.,Seppi A.,114,90,1,1.69,2.3,1.65,2.24,1,1,0
Humbert U.,Kyrgios N.,25,60,0,1.63,2.63,1.55,2.47,1,2,-1
Bonzi B.,Trungelliti M.,119,205,1,1.32,4.91,1.24,4.12,1,0,1
Monfils G.,O Connell C.,17,130,1,2.01,2.13,1.81,2.02,1,0,1
Koepfer D.,Kwon S.W.,62,71,1,1.65,2.51,1.58,2.39,2,0,2
Murray A.,Otte O.,118,151,1,1.44,3.6,1.34,3.24,1,0,1
Tsonga J.W.,Ymer M.,85,98,0,2.0,2.03,1.92,1.89,0,1,-1
Alcaraz C.,Uchiyama Y.,75,116,1,1.46,3.52,1.37,3.07,1,0,1
Ruud C.,Thompson J.,14,78,0,1.58,2.8,1.5,2.58,3,4,-1
Isner J.,Nishioka Y.,33,58,0,1.16,7.24,1.13,5.95,2,1,1
Garin C.,Zapata Miralles B.,20,125,1,1.56,2.81,1.49,2.62,1,1,0
Giron M.,Ruusuvuori E.,66,76,1,1.69,2.47,1.61,2.31,3,1,2
Dimitrov G.,Verdasco F.,21,106,1,1.35,4.2,1.26,3.87,5,3,2
Broady L.,Schwartzman D.,143,11,0,5.5,1.25,4.36,1.22,1,1,0
Berrettini M.,Pella G.,9,59,1,1.04,26.0,1.02,14.9,1,0,1
Djere L.,Fognini F.,55,31,0,3.52,1.4,3.2,1.35,3,2,1
Londero J.I.,Mager G.,129,77,0,2.8,1.57,2.58,1.51,0,1,-1
Fritz T.,Nakashima B.,40,138,1,3.1,1.53,2.91,1.41,2,1,1
Norrie C.,Pouille L.,34,95,1,1.33,4.6,1.24,4.11,2,1,1
Barrere G.,Van De Zandschulp B.,131,139,0,1.68,2.7,1.55,2.45,0,1,-1
Coria F.,Galan D.E.,87,112,0,4.8,1.26,4.34,1.22,0,2,-2
Andujar P.,Shapovalov D.,70,12,0,13.0,1.07,9.87,1.06,0,3,-3
Fucsovics M.,Vesely J.,48,72,1,1.65,2.62,1.57,2.41,1,0,1
Bublik A.,Kukushkin M.,38,105,1,1.28,4.83,1.21,4.42,2,0,2
Anderson K.,Djokovic N.,102,1,0,26.0,1.04,15.29,1.02,1,9,-8
Evans D.,Lajovic D.,26,42,1,1.13,9.0,1.09,7.28,2,0,2
Pospisil V.,Tiafoe F.,65,57,0,2.37,1.91,2.1,1.75,0,1,-1
Auger-Aliassime F.,Monteiro T.,19,81,1,1.11,10.8,1.08,8.31,3,0,3
Nishikori K.,Popyrin A.,53,67,1,1.47,3.11,1.42,2.85,1,0,1
Bedene A.,Moutet C.,64,83,1,1.84,2.11,1.8,2.02,1,0,1
Albot R.,Duckworth J.,93,91,0,2.68,1.6,2.47,1.54,0,1,-1
Hoang A.,Korda S.,156,50,0,8.0,1.13,7.09,1.1,0,1,-1
Johnson S.,Novak D.,74,122,1,1.8,2.28,1.7,2.17,1,0,1
Harris L.,Rublev A.,51,7,0,6.0,1.2,5.31,1.16,0,3,-3
Carreno Busta P.,Querrey S.,13,54,0,2.48,1.77,2.14,1.71,1,1,0
Clarke J.,Gerasimov E.,230,73,0,3.2,1.44,3.02,1.39,0,1,-1
Andujar P.,Herbert P.H.,70,101,1,5.92,1.21,5.24,1.16,1,1,0
Kohlschreiber P.,Shapovalov D.,115,12,0,4.75,1.3,4.26,1.22,0,1,-1
Lajovic D.,Simon G.,42,97,1,2.51,1.65,2.38,1.58,2,0,2
Hoang A.,Zhang Zh.,156,175,1,1.91,2.08,1.85,1.96,1,0,1
Kwon S.W.,Masur D.,71,222,1,1.33,4.62,1.28,3.72,1,0,1
Cuevas P.,Djere L.,84,55,0,1.7,2.6,1.58,2.4,0,2,-2
Gombos N.,Sandgren T.,94,68,0,2.53,1.63,2.39,1.58,0,1,-1
Gasquet R.,Sugita Y.,56,110,1,1.24,5.08,1.22,4.29,2,1,1
Lu Y.,Polmans M.,625,154,0,4.0,1.36,3.5,1.3,0,1,-1
Otte O.,Rinderknech A.,151,109,1,2.53,1.74,2.34,1.6,1,0,1
Federer R.,Mannarino A.,8,41,1,1.2,6.05,1.16,5.31,7,0,7
Medvedev D.,Struff J.L.,2,45,1,1.17,6.75,1.14,5.85,7,1,6
De Minaur A.,Korda S.,15,50,0,1.62,2.66,1.57,2.4,3,1,2
Griekspoor T.,Zverev A.,124,6,0,15.0,1.08,10.6,1.05,2,8,-6
Paire B.,Schwartzman D.,46,11,0,5.75,1.2,5.28,1.16,1,4,-3
Fognini F.,Ramos-Vinolas A.,31,39,1,1.43,3.45,1.35,3.2,7,3,4
Bolt A.,Krajinovic F.,149,44,1,1.8,2.42,1.72,2.14,1,0,1
Evans D.,Lopez F.,26,89,1,1.45,3.15,1.42,2.86,1,1,0
Berankis R.,Harris L.,80,51,0,2.99,1.59,2.51,1.53,0,2,-2
Hurkacz H.,Musetti L.,18,63,1,1.5,3.0,1.45,2.76,2,2,0
Davidovich Fokina A.,Kudla D.,35,114,0,1.91,2.05,1.84,1.96,0,1,-1
Djokovic N.,Draper J.,1,253,1,1.01,51.0,1.01,24.52,1,0,1
Delbonis F.,Rublev A.,47,7,0,18.18,1.05,13.45,1.03,0,2,-2
Martinez P.,Travaglia S.,107,88,1,4.1,1.36,3.85,1.26,1,0,1
Seppi A.,Sousa J.,90,120,1,1.48,2.97,1.45,2.75,3,2,1
Fucsovics M.,Sinner J.,48,23,1,2.95,1.5,2.77,1.45,2,3,-1
Basilashvili N.,Murray A.,28,118,0,2.06,2.06,1.85,1.96,0,3,-3
Khachanov K.,McDonald M.,29,108,1,1.67,2.55,1.59,2.38,5,0,5
Bautista Agut R.,Millman J.,10,43,1,1.22,5.5,1.19,4.79,5,0,5
Anderson K.,Barrios M.,102,209,1,1.29,4.15,1.26,3.86,1,0,1
Bagnis F.,Kecmanovic M.,92,49,0,9.0,1.11,7.56,1.09,0,2,-2
Broady L.,Cecchinato M.,143,86,1,1.44,3.35,1.37,3.1,1,0,1
Carballes Baena R.,Pospisil V.,100,65,0,4.33,1.27,3.98,1.25,0,1,-1
Tiafoe F.,Tsitsipas S.,57,4,1,6.5,1.2,5.5,1.15,2,1,1
Hanfmann Y.,Vesely J.,99,72,0,2.75,1.57,2.52,1.53,1,2,-1
Koepfer D.,Opelka R.,62,32,1,2.5,1.67,2.33,1.61,3,1,2
Djokovic N.,Federer R.,1,3,1,1.6,2.66,1.54,2.56,28,22,6
Bautista Agut R.,Djokovic N.,22,1,0,10.44,1.12,8.57,1.08,3,6,-3
Federer R.,Nadal R.,3,2,1,2.3,1.77,2.18,1.71,17,24,-7
Nadal R.,Querrey S.,2,65,1,1.17,6.55,1.14,5.91,4,1,3
Federer R.,Nishikori K.,3,7,1,1.16,7.45,1.12,6.5,8,3,5
Bautista Agut R.,Pella G.,22,26,1,1.25,5.72,1.18,4.96,4,0,4
Djokovic N.,Goffin D.,1,23,1,1.09,12.0,1.07,9.4,7,1,6
Querrey S.,Sandgren T.,65,94,1,1.2,6.14,1.16,5.36,1,1,0
Pella G.,Raonic M.,26,17,1,6.16,1.2,5.17,1.17,1,0,1
Kukushkin M.,Nishikori K.,58,7,0,8.36,1.13,6.91,1.11,0,9,-9
Goffin D.,Verdasco F.,23,37,1,1.34,3.91,1.31,3.52,4,3,1
Berrettini M.,Federer R.,20,3,0,9.04,1.12,7.27,1.1,1,2,-1
Djokovic N.,Humbert U.,1,66,1,1.04,26.5,1.02,17.58,1,0,1
Nadal R.,Sousa J.,2,69,1,1.05,26.5,1.02,16.23,3,0,3
Bautista Agut R.,Paire B.,22,32,1,1.26,5.07,1.21,4.43,2,0,2
Berrettini M.,Schwartzman D.,20,24,1,1.37,3.6,1.32,3.4,1,1,0
Evans D.,Sousa J.,61,69,0,1.44,3.47,1.39,3.04,0,1,-1
Kukushkin M.,Struff J.L.,58,33,1,4.56,1.26,4.18,1.23,1,2,-1
Nadal R.,Tsonga J.W.,2,72,1,1.2,5.71,1.17,5.12,9,4,5
Johnson S.,Nishikori K.,71,7,0,4.75,1.25,4.41,1.21,0,5,-5
Federer R.,Pouille L.,3,28,1,1.1,10.2,1.07,8.59,2,0,2
Fognini F.,Sandgren T.,10,94,0,1.35,4.1,1.31,3.51,2,2,0
Millman J.,Querrey S.,64,65,0,4.5,1.31,3.91,1.26,0,1,-1
Goffin D.,Medvedev D.,23,13,1,1.95,2.0,1.89,1.92,1,3,-2
Djokovic N.,Hurkacz H.,1,48,1,1.03,39.0,1.01,20.14,8,0,8
Paire B.,Vesely J.,32,124,1,1.91,2.13,1.81,2.01,2,0,2
Opelka R.,Raonic M.,63,17,0,3.58,1.36,3.34,1.33,1,1,0
Anderson K.,Pella G.,8,26,0,1.15,7.5,1.13,6.2,0,1,-1
Fabbiano T.,Verdasco F.,89,37,0,2.55,1.62,2.42,1.57,0,2,-2
Auger-Aliassime F.,Humbert U.,21,66,0,1.28,5.0,1.24,4.11,1,2,-1
Bautista Agut R.,Khachanov K.,22,9,1,1.55,2.93,1.5,2.61,6,5,1
Koepfer D.,Schwartzman D.,130,24,0,3.29,1.46,3.0,1.39,0,1,-1
Sandgren T.,Simon G.,94,25,1,5.8,1.26,4.56,1.21,1,2,-1
Fognini F.,Fucsovics M.,10,51,1,1.8,2.23,1.72,2.13,4,2,2
De Minaur A.,Johnson S.,29,71,0,1.72,2.6,1.58,2.41,2,2,0
Isner J.,Kukushkin M.,12,58,0,1.26,4.65,1.23,4.17,4,1,3
Kyrgios N.,Nadal R.,43,2,0,4.45,1.33,3.98,1.25,4,6,-2
Fritz T.,Struff J.L.,31,33,0,1.8,2.4,1.69,2.18,1,2,-1
Nishikori K.,Norrie C.,7,55,1,1.18,6.29,1.15,5.6,3,0,3
Cilic M.,Sousa J.,18,69,0,1.14,7.72,1.11,6.58,4,1,3
Querrey S.,Rublev A.,65,79,1,1.21,5.52,1.18,4.89,1,3,-2
Djere L.,Millman J.,35,64,0,3.92,1.34,3.55,1.3,1,1,0
Berankis R.,Tsonga J.W.,77,72,0,8.55,1.12,7.58,1.09,0,1,-1
Basilashvili N.,Evans D.,16,61,0,4.55,1.32,3.86,1.27,1,1,0
Baghdatis M.,Berrettini M.,135,20,0,7.5,1.15,6.48,1.12,0,1,-1
Barrere G.,Pouille L.,116,28,0,6.1,1.2,5.37,1.16,0,1,-1
Clarke J.,Federer R.,169,3,0,39.0,1.02,23.36,1.01,0,1,-1
Opelka R.,Wawrinka S.,63,19,1,5.0,1.27,4.23,1.23,1,1,0
Edmund K.,Verdasco F.,30,37,0,1.6,2.64,1.56,2.44,0,3,-3
Fabbiano T.,Karlovic I.,89,80,1,2.01,2.02,1.9,1.91,1,0,1
Anderson K.,Tipsarevic J.,8,288,1,1.09,11.25,1.06,9.15,2,1,1
Medvedev D.,Popyrin A.,13,101,1,1.25,5.02,1.22,4.36,4,1,3
Cuevas P.,Vesely J.,45,124,0,4.05,1.34,3.67,1.29,1,1,0
Auger-Aliassime F.,Moutet C.,21,84,1,1.18,6.46,1.16,5.4,3,0,3
Khachanov K.,Lopez F.,9,54,1,1.86,2.23,1.78,2.04,3,1,2
Pella G.,Seppi A.,26,73,1,2.8,1.57,2.61,1.5,1,0,1
Hurkacz H.,Mayer L.,48,59,1,1.5,3.38,1.42,2.87,1,0,1
Bautista Agut R.,Darcis S.,22,221,1,1.06,14.5,1.04,10.98,1,0,1
Kecmanovic M.,Paire B.,67,32,0,2.3,1.9,2.16,1.7,0,2,-2
Djokovic N.,Kudla D.,1,111,1,1.02,39.0,1.01,22.28,3,0,3
Chardy J.,Goffin D.,81,23,0,3.98,1.33,3.54,1.3,2,2,0
Haase R.,Raonic M.,76,17,0,8.5,1.11,7.43,1.09,0,2,-2
Granollers M.,Humbert U.,105,66,0,1.76,2.31,1.67,2.2,0,1,-1
Berdych T.,Fritz T.,110,31,0,3.2,1.46,2.9,1.42,0,1,-1
Dellien H.,Millman J.,83,64,0,11.25,1.09,9.17,1.06,0,1,-1
Andujar P.,Kukushkin M.,78,58,0,5.61,1.22,4.92,1.18,1,1,0
Tomic B.,Tsonga J.W.,96,72,0,5.16,1.22,4.72,1.19,0,4,-4
Nadal R.,Sugita Y.,2,274,1,1.05,21.0,1.03,13.52,1,0,1
Baghdatis M.,Schnur B.,135,112,1,1.77,2.28,1.7,2.16,1,0,1
Johnson S.,Ramos-Vinolas A.,71,99,1,1.2,5.7,1.17,5.15,1,0,1
Istomin D.,Norrie C.,115,55,0,2.84,1.57,2.59,1.5,0,1,-1
Berankis R.,Shapovalov D.,77,27,1,7.55,1.13,6.79,1.11,1,3,-2
Caruso S.,Simon G.,123,25,0,4.39,1.32,3.85,1.26,1,1,0
Isner J.,Ruud C.,12,62,1,1.3,4.68,1.26,3.9,1,0,1
Gasquet R.,Pouille L.,47,28,0,2.5,1.71,2.26,1.64,1,5,-4
Cecchinato M.,De Minaur A.,41,29,0,5.7,1.22,4.94,1.18,3,4,-1
Delbonis F.,Evans D.,75,61,0,12.25,1.11,8.98,1.07,0,2,-2
Monteiro T.,Nishikori K.,113,7,0,12.5,1.07,10.21,1.05,0,2,-2
Cilic M.,Mannarino A.,18,42,1,1.33,3.92,1.3,3.53,2,1,1
Clarke J.,Rubin N.,169,182,1,2.8,1.58,2.58,1.5,1,0,1
Basilashvili N.,Ward J.,16,195,1,1.69,2.57,1.61,2.34,1,0,1
Fognini F.,Tiafoe F.,10,38,1,2.04,2.2,1.76,2.07,2,0,2
Kyrgios N.,Thompson J.,43,44,1,1.45,3.22,1.38,3.05,1,0,1
Barrere G.,Bublik A.,116,82,1,2.2,1.8,2.11,1.73,2,4,-2
Sandgren T.,Uchiyama Y.,94,180,1,1.8,2.25,1.72,2.14,1,0,1
Federer R.,Harris L.,3,86,1,1.03,39.0,1.01,20.67,1,0,1
Jubb P.,Sousa J.,431,69,0,4.36,1.29,3.96,1.25,0,1,-1
Ebden M.,Schwartzman D.,95,24,0,2.9,1.53,2.72,1.46,0,1,-1
Querrey S.,Thiem D.,65,4,1,2.38,1.74,2.23,1.66,2,3,-1
Fucsovics M.,Novak D.,51,104,1,1.83,2.12,1.78,2.04,2,0,2
Garin C.,Rublev A.,34,79,0,1.57,2.75,1.51,2.58,0,3,-3
Andreozzi G.,Djere L.,114,35,0,3.92,1.35,3.44,1.32,0,2,-2
Koepfer D.,Krajinovic F.,130,52,1,2.2,1.78,2.13,1.72,1,0,1
Bedene A.,Berrettini M.,85,20,0,5.85,1.22,5.15,1.17,1,3,-2
Albot R.,Struff J.L.,40,33,0,3.95,1.31,3.62,1.29,0,2,-2
Cuevas P.,Dzumhur D.,45,91,1,1.95,2.14,1.85,1.96,1,1,0
Humbert U.,Monfils G.,66,15,1,3.95,1.35,3.44,1.32,3,2,1
Dimitrov G.,Moutet C.,49,84,0,1.25,5.33,1.2,4.56,0,2,-2
Fabbiano T.,Tsitsipas S.,89,6,1,8.66,1.16,6.98,1.1,1,1,0
Nishioka Y.,Tipsarevic J.,68,288,0,1.8,2.45,1.73,2.13,0,1,-1
Chardy J.,Klizan M.,81,56,1,1.3,4.26,1.27,3.77,2,1,1
Auger-Aliassime F.,Pospisil V.,21,187,1,1.08,14.75,1.05,10.14,4,1,3
Carballes Baena R.,Kecmanovic M.,74,67,0,3.06,1.5,2.79,1.44,0,1,-1
Jarry N.,Seppi A.,53,73,0,1.91,2.06,1.84,1.97,1,1,0
Copil M.,Pella G.,88,26,0,1.92,2.06,1.83,1.98,0,1,-1
Hurkacz H.,Lajovic D.,48,36,1,1.38,3.6,1.32,3.36,3,0,3
Vesely J.,Zverev A.,124,5,1,5.14,1.25,4.37,1.22,1,0,1
Khachanov K.,Kwon S.W.,9,125,1,1.34,4.14,1.28,3.73,1,0,1
Londero J.I.,Paire B.,60,32,0,4.32,1.33,3.73,1.28,0,2,-2
Majchrzak K.,Verdasco F.,108,37,0,1.95,2.18,1.86,1.96,0,1,-1
Edmund K.,Munar J.,30,90,1,1.17,7.61,1.12,6.51,1,0,1
Goffin D.,Klahn B.,23,87,1,1.05,17.25,1.03,12.34,1,0,1
