PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB
Giron M.,Searle H.,46,539,1,1.19,5.52,1.17,5.1
Albot R.,Hurkacz H.,144,7,0,14.36,1.06,10.99,1.04
Monteiro T.,Popyrin A.,86,47,0,3.66,1.34,3.41,1.32
Lestienne C.,Musetti L.,92,25,0,8.12,1.14,6.8,1.11
Cobolli F.,Hijikata R.,48,77,1,2.25,1.74,2.16,1.7
Fils A.,Stricker D.,34,149,1,1.46,3.1,1.42,2.9
Harris B.,Munar J.,116,63,0,1.63,2.61,1.57,2.41
Borges N.,Nishioka Y.,50,90,0,2.15,1.88,2.03,1.79
Comesana F.,Rublev A.,122,6,1,24.44,1.04,14.43,1.02
Kwon S.W.,Rune H.,367,15,0,7.03,1.15,6.35,1.12
Carballes Baena R.,Zverev A.,64,4,0,29.0,1.04,17.1,1.02
Djokovic N.,Kopriva V.,2,123,1,1.04,22.53,1.02,14.74
Fritz T.,O Connell C.,12,79,1,1.1,12.2,1.06,9.6
Etcheverry T.,Nardi L.,31,75,1,1.65,2.5,1.58,2.38
Fearnley J.,Moro Canas A.,277,188,1,1.55,2.84,1.48,2.67
Daniel T.,Tsitsipas S.,84,11,0,12.14,1.11,9.75,1.06
Gaston H.,Muller A.,71,102,0,1.69,2.43,1.63,2.27
Ofner S.,Vukic A.,45,69,0,2.25,1.79,2.14,1.71
Bergs Z.,Cazaux A.,82,98,0,1.45,3.2,1.41,2.93
Harris L.,Michelsen A.,118,55,1,1.85,2.11,1.77,2.06
Bublik A.,Mensik J.,23,78,1,1.47,3.03,1.44,2.82
Humbert U.,Shevchenko A.,16,57,1,1.14,7.58,1.12,6.25
Altmaier D.,Fery A.,80,247,1,2.06,1.94,1.96,1.86
Arnaldi M.,Tiafoe F.,35,29,0,2.32,1.79,2.16,1.7
Kotov P.,Thompson J.,53,40,0,4.62,1.29,4.18,1.23
Marozsan F.,Struff J.L.,43,41,0,4.8,1.26,4.3,1.22
Broady L.,Van De Zandschulp B.,156,97,0,2.47,1.64,2.34,1.6
Kecmanovic M.,Nagal S.,52,73,1,1.12,9.0,1.1,7.22
Berrettini M.,Fucsovics M.,59,70,1,1.21,5.32,1.18,4.9
Martinez P.,Paul T.,49,13,0,19.0,1.05,11.82,1.04
Hanfmann Y.,Sinner J.,110,1,0,43.93,1.02,21.84,1.01
Mannarino A.,Monfils G.,24,33,0,2.62,1.6,2.46,1.55
Purcell M.,Virtanen O.,68,147,0,1.69,2.4,1.62,2.29
Bautista Agut R.,Marterer M.,112,85,1,1.29,4.22,1.26,3.88
Kovacevic A.,Medvedev D.,88,5,0,23.0,1.04,14.64,1.02
Baez S.,Nakashima B.,18,65,0,6.0,1.18,5.37,1.16
Galan D.E.,Griekspoor T.,103,27,0,7.27,1.14,6.32,1.12
Garin C.,Shang J.,106,91,0,2.1,1.91,1.97,1.84
Bolt A.,Ruud C.,234,8,0,3.2,1.45,2.97,1.4
Janvier M.,Zhang Zh.,225,38,0,5.0,1.22,4.59,1.2
Fognini F.,Van Assche L.,94,104,1,2.2,1.82,2.08,1.75
Dimitrov G.,Lajovic D.,10,56,1,1.05,21.59,1.04,12.61
Navone M.,Sonego L.,32,54,0,9.95,1.09,8.29,1.08
Broom C.,Wawrinka S.,248,95,0,2.35,1.67,2.3,1.62
Jarry N.,Shapovalov D.,20,121,0,2.56,1.63,2.41,1.57
Alcaraz C.,Lajal M.,3,269,1,1.02,43.46,1.01,21.99
Coric B.,Meligeni Alves F.,89,145,1,1.66,2.49,1.59,2.37
Alcaraz C.,Djokovic N.,1,2,1,2.74,1.6,2.54,1.54
Alcaraz C.,Medvedev D.,1,3,1,1.44,3.3,1.4,3.01
Djokovic N.,Sinner J.,2,8,1,1.28,4.6,1.23,4.36
Eubanks C.,Medvedev D.,43,3,0,6.35,1.21,5.4,1.16
Alcaraz C.,Rune H.,1,6,1,1.29,4.82,1.23,4.29
Safiullin R.,Sinner J.,92,8,0,6.61,1.19,5.54,1.15
Djokovic N.,Rublev A.,2,7,1,1.09,10.82,1.07,8.7
Eubanks C.,Tsitsipas S.,43,5,1,3.51,1.4,3.23,1.35
Alcaraz C.,Berrettini M.,1,38,1,1.45,3.27,1.38,3.06
Dimitrov G.,Rune H.,24,6,0,1.61,2.62,1.55,2.49
Djokovic N.,Hurkacz H.,2,18,1,1.07,12.4,1.06,10.1
Lehecka J.,Medvedev D.,37,3,0,4.3,1.28,3.98,1.25
Bublik A.,Rublev A.,26,7,0,2.05,1.92,1.97,1.85
Safiullin R.,Shapovalov D.,92,29,1,2.6,1.63,2.44,1.56
Dimitrov G.,Tiafoe F.,24,10,1,2.05,1.92,1.97,1.85
Galan D.E.,Sinner J.,85,8,0,16.79,1.07,12.17,1.04
Alcaraz C.,Jarry N.,1,28,1,1.14,9.52,1.09,7.82
Djere L.,Tsitsipas S.,60,5,0,5.57,1.22,4.85,1.19
Eubanks C.,O Connell C.,43,73,1,1.63,2.61,1.53,2.51
Berrettini M.,Zverev A.,38,21,1,2.16,1.86,2.03,1.8
Fucsovics M.,Medvedev D.,67,3,0,5.0,1.35,4.37,1.22
Lehecka J.,Paul T.,37,15,1,2.26,1.9,2.11,1.75
Davidovich Fokina A.,Rune H.,34,6,0,3.36,1.5,2.92,1.42
Pella G.,Safiullin R.,308,92,0,3.02,1.5,2.83,1.44
Jarry N.,Kubler J.,28,77,1,1.74,2.44,1.64,2.27
Davidovich Fokina A.,Van De Zandschulp B.,34,44,1,1.6,2.75,1.51,2.58
Fucsovics M.,Giron M.,67,65,1,1.46,3.2,1.41,2.95
Goffin D.,Rublev A.,123,7,0,5.24,1.26,4.6,1.2
Eubanks C.,Norrie C.,43,13,1,4.0,1.38,3.64,1.29
Broady L.,Shapovalov D.,142,29,0,3.9,1.33,3.58,1.3
Berrettini M.,De Minaur A.,38,17,1,2.5,1.66,2.39,1.58
Hurkacz H.,Musetti L.,18,16,1,1.63,2.6,1.57,2.43
Watanuki Y.,Zverev A.,116,21,0,6.75,1.18,6.02,1.13
Djokovic N.,Wawrinka S.,2,88,1,1.05,16.55,1.03,12.97
Bublik A.,Marterer M.,26,170,1,1.19,6.33,1.14,5.77
Mannarino A.,Medvedev D.,35,3,0,4.33,1.3,3.93,1.26
Carballes Baena R.,Rune H.,57,6,0,10.6,1.09,8.99,1.07
O Connell C.,Vesely J.,73,528,1,1.95,2.08,1.87,1.96
Alcaraz C.,Muller A.,1,84,1,1.03,28.92,1.02,17.2
Galan D.E.,Ymer M.,85,59,1,3.6,1.42,3.22,1.35
Murray A.,Tsitsipas S.,40,5,0,1.82,2.25,1.77,2.08
Halys Q.,Sinner J.,79,8,0,6.36,1.18,5.68,1.15
Brouwer G.,Zverev A.,153,21,0,10.39,1.1,8.34,1.08
Bublik A.,Wolf J.J.,26,48,1,1.53,2.85,1.48,2.68
Marterer M.,Mmoh M.,170,119,1,1.92,2.05,1.84,1.98
Fritz T.,Ymer M.,9,59,0,1.27,4.6,1.23,4.27
Broady L.,Ruud C.,142,4,1,5.16,1.25,4.44,1.21
Van De Zandschulp B.,Zhang Zh.,44,52,1,1.76,2.31,1.67,2.22
Huesler M.A.,Watanuki Y.,81,116,0,2.12,1.88,2.04,1.79
Humbert U.,Kubler J.,39,77,0,1.67,2.45,1.62,2.32
Cecchinato M.,Jarry N.,89,28,0,16.63,1.06,10.86,1.05
Arnaldi M.,Carballes Baena R.,80,57,0,1.55,3.04,1.47,2.7
Barrios M.,Goffin D.,133,123,0,3.39,1.41,3.07,1.38
Etcheverry T.,Wawrinka S.,32,88,0,2.75,1.58,2.59,1.51
Paul T.,Raonic M.,15,849,1,1.54,2.91,1.47,2.72
Djere L.,Shelton B.,60,36,1,2.65,1.61,2.48,1.55
Berrettini M.,Sonego L.,38,42,1,2.75,1.6,2.49,1.54
Medjedovic H.,O Connell C.,156,73,0,2.55,1.67,2.38,1.59
Galan D.E.,Otte O.,85,233,1,2.75,1.57,2.58,1.51
Karatsev A.,Rublev A.,50,7,0,5.27,1.21,4.74,1.19
Mayot H.,Pella G.,181,308,0,1.79,2.45,1.67,2.23
Coppejans K.,De Minaur A.,188,17,0,18.0,1.05,14.03,1.03
Cerundolo F.,Lehecka J.,19,37,0,1.95,2.03,1.86,1.95
Dimitrov G.,Ivashka I.,24,102,1,1.19,6.3,1.15,5.61
Halys Q.,Vukic A.,79,87,1,1.71,2.36,1.66,2.25
Munar J.,Musetti L.,109,16,0,6.65,1.18,5.72,1.14
Davidovich Fokina A.,Fils A.,34,61,1,1.72,2.4,1.67,2.23
Stricker D.,Tiafoe F.,117,10,0,5.45,1.22,4.77,1.19
Moutet C.,Safiullin R.,71,92,0,2.65,1.77,2.32,1.62
Barrere G.,Shapovalov D.,49,29,0,2.64,1.62,2.42,1.57
Choinski J.,Hurkacz H.,164,18,0,12.26,1.07,9.96,1.06
Fritz T.,Hanfmann Y.,9,45,1,1.3,4.6,1.26,3.89
Thiem D.,Tsitsipas S.,91,5,0,5.45,1.22,4.92,1.18
Popyrin A.,Stricker D.,93,117,0,2.32,1.76,2.24,1.67
Bautista Agut R.,Safiullin R.,23,92,0,1.36,3.85,1.3,3.58
Daniel T.,Shelton B.,106,36,0,3.2,1.46,2.97,1.4
Coric B.,Pella G.,14,308,0,1.47,3.2,1.4,3.0
Borges N.,Cerundolo F.,69,19,0,4.34,1.3,3.95,1.26
Coria F.,Ivashka I.,104,102,0,8.5,1.13,7.3,1.1
Albot R.,Shapovalov D.,107,29,0,4.54,1.27,4.24,1.23
Korda S.,Vesely J.,25,528,0,1.13,8.0,1.11,6.91
Muller A.,Rinderknech A.,84,82,1,4.38,1.27,4.11,1.24
Barrere G.,Harris L.,49,208,1,2.15,1.82,2.06,1.78
Novak D.,Raonic M.,159,849,0,2.0,2.02,1.89,1.93
Eubanks C.,Monteiro T.,43,95,1,1.33,4.16,1.27,3.82
Cressy M.,Djere L.,58,60,0,1.71,2.35,1.65,2.25
Fucsovics M.,Griekspoor T.,67,31,1,2.17,1.86,2.05,1.78
Mannarino A.,Shevchenko A.,35,97,1,1.25,5.0,1.21,4.41
Dimitrov G.,Shimabukuro S.,24,162,1,1.08,11.25,1.06,9.62
Lehecka J.,Ofner S.,37,72,1,1.69,2.47,1.63,2.29
Tiafoe F.,Wu Y.,10,62,1,1.21,5.55,1.19,4.78
Schwartzman D.,Sinner J.,98,8,0,13.38,1.07,10.44,1.05
Dellien H.,Giron M.,171,65,0,18.4,1.06,13.74,1.03
Loffhagen G.,Rune H.,371,6,0,14.0,1.06,10.7,1.05
Mochizuki S.,Paul T.,212,15,0,7.2,1.19,5.8,1.14
Fery A.,Medvedev D.,391,3,0,39.1,1.02,21.06,1.01
Bonzi B.,Mayot H.,94,181,0,2.47,1.67,2.32,1.62
Djokovic N.,Thompson J.,2,70,1,1.04,21.62,1.02,15.44
Machac T.,Norrie C.,108,13,0,5.32,1.3,4.48,1.21
Murray A.,Peniston R.,40,268,1,1.12,8.4,1.1,7.38
Alcaraz C.,Chardy J.,1,542,1,1.03,34.08,1.01,19.5
Etcheverry T.,Zapata Miralles B.,32,53,1,1.63,3.27,1.41,2.95
Evans D.,Halys Q.,30,79,0,1.95,2.15,1.85,1.97
Gojo B.,Marterer M.,112,170,0,1.9,2.26,1.79,2.04
Lokoli L.,Ruud C.,199,4,0,6.0,1.2,5.22,1.17
Choinski J.,Lajovic D.,164,56,1,2.75,1.56,2.59,1.51
Goffin D.,Marozsan F.,123,96,1,1.6,2.91,1.5,2.61
Auger-Aliassime F.,Mmoh M.,12,119,0,1.16,8.01,1.11,6.6
Altmaier D.,Vukic A.,66,87,0,3.03,1.54,2.84,1.44
Baez S.,Barrios M.,46,133,0,1.92,2.2,1.77,2.08
Molcan A.,Ymer M.,83,59,0,3.11,1.55,2.85,1.43
Kecmanovic M.,Schwartzman D.,41,98,0,1.58,2.8,1.47,2.69
Galan D.E.,Nishioka Y.,85,27,1,2.25,1.81,2.13,1.73
Hurkacz H.,Ramos-Vinolas A.,18,76,1,1.08,13.0,1.06,10.31
Broady L.,Lestienne C.,142,74,1,1.57,2.76,1.5,2.6
Musetti L.,Varillas J.P.,16,63,1,1.08,13.5,1.05,10.47
Koepfer D.,Otte O.,86,233,0,2.36,1.74,2.21,1.68
Couacaud E.,Wolf J.J.,158,48,0,4.53,1.32,4.05,1.25
Cachin P.,Djokovic N.,68,2,0,34.0,1.02,20.89,1.01
Ruusuvuori E.,Wawrinka S.,47,88,0,1.45,3.51,1.35,3.21
Gasquet R.,Moutet C.,51,71,0,1.66,2.55,1.58,2.39
Purcell M.,Rublev A.,64,7,0,11.22,1.1,8.82,1.07
Cerundolo J.M.,Sinner J.,111,8,0,22.3,1.03,15.74,1.02
Nakashima B.,Thompson J.,55,70,0,2.06,1.95,1.94,1.89
Bublik A.,McDonald M.,26,54,1,1.52,2.95,1.45,2.76
Karatsev A.,Van Assche L.,50,75,1,1.84,2.45,1.67,2.24
Isner J.,Munar J.,103,109,0,1.45,3.3,1.39,3.03
Djokovic N.,Kyrgios N.,3,40,1,1.33,4.25,1.28,3.81
Djokovic N.,Norrie C.,3,12,1,1.11,13.1,1.06,9.75
Kyrgios N.,Nadal R.,40,4,1,1.7,2.5,1.61,2.34
Fritz T.,Nadal R.,14,4,0,3.0,1.5,2.84,1.44
Garin C.,Kyrgios N.,43,40,0,4.95,1.25,4.5,1.21
Goffin D.,Norrie C.,58,12,0,3.06,1.48,2.88,1.43
Djokovic N.,Sinner J.,3,13,1,1.13,7.94,1.11,6.82
Nadal R.,Van De Zandschulp B.,4,25,1,1.18,6.0,1.15,5.38
De Minaur A.,Garin C.,27,43,0,1.21,6.43,1.16,5.34
Kyrgios N.,Nakashima B.,40,56,1,1.36,4.1,1.31,3.49
Fritz T.,Kubler J.,14,99,1,1.23,5.63,1.2,4.63
Norrie C.,Paul T.,12,32,1,1.62,2.65,1.53,2.53
Djokovic N.,Van Rijthoven T.,3,104,1,1.07,17.0,1.05,10.57
Goffin D.,Tiafoe F.,58,28,1,1.88,2.2,1.79,2.03
Alcaraz C.,Sinner J.,7,13,0,1.42,3.41,1.35,3.21
Kyrgios N.,Tsitsipas S.,40,5,1,1.85,2.2,1.76,2.09
Galan D.E.,Nakashima B.,109,56,0,7.75,1.15,6.65,1.11
Nadal R.,Sonego L.,4,54,1,1.21,5.76,1.17,5.15
Fritz T.,Molcan A.,14,51,1,1.25,5.0,1.21,4.47
Broady L.,De Minaur A.,132,27,0,7.5,1.16,6.34,1.12
Kubler J.,Sock J.,99,103,1,2.55,1.61,2.42,1.57
Brooksby J.,Garin C.,34,43,0,1.42,3.35,1.37,3.09
Gasquet R.,Van De Zandschulp B.,69,25,0,3.44,1.42,3.04,1.38
Alcaraz C.,Otte O.,7,36,1,1.33,4.2,1.3,3.5
Goffin D.,Humbert U.,58,112,1,1.76,2.42,1.65,2.24
Cressy M.,Sock J.,45,103,0,1.5,2.95,1.45,2.75
Paul T.,Vesely J.,32,68,1,1.55,3.0,1.46,2.73
Johnson S.,Norrie C.,93,12,0,3.76,1.33,3.56,1.3
Bublik A.,Tiafoe F.,38,28,0,1.84,2.13,1.79,2.04
Djokovic N.,Kecmanovic M.,3,30,1,1.04,21.0,1.02,15.88
Basilashvili N.,Van Rijthoven T.,26,104,0,3.1,1.47,2.87,1.42
Kubler J.,Novak D.,99,153,1,1.53,2.93,1.49,2.65
Isner J.,Sinner J.,24,13,0,2.46,1.66,2.31,1.61
Berankis R.,Nadal R.,106,4,0,15.0,1.07,11.61,1.04
Broady L.,Schwartzman D.,132,15,1,3.5,1.37,3.32,1.33
Ruusuvuori E.,Van De Zandschulp B.,49,25,0,2.2,1.83,2.1,1.75
De Minaur A.,Draper J.,27,94,1,1.57,2.71,1.52,2.53
Gasquet R.,McDonald M.,69,55,1,2.49,1.69,2.3,1.62
Nakashima B.,Shapovalov D.,56,16,1,2.4,1.68,2.29,1.62
Bautista Agut R.,Galan D.E.,19,109,0,1.11,10.5,1.07,8.51
Garin C.,Grenier H.,43,141,1,1.51,3.25,1.4,2.95
Krajinovic F.,Kyrgios N.,31,40,0,4.02,1.33,3.75,1.28
Giron M.,Molcan A.,65,51,0,1.63,2.75,1.54,2.5
Gaston H.,Sonego L.,66,54,0,4.74,1.27,4.17,1.23
Thompson J.,Tsitsipas S.,76,5,0,5.25,1.24,4.61,1.2
Bonzi B.,Brooksby J.,47,34,0,1.72,2.52,1.62,2.29
Fritz T.,Gray A.,14,288,1,1.06,16.0,1.04,11.42
Harrison C.,Otte O.,251,36,0,6.5,1.2,5.56,1.15
Munar J.,Norrie C.,71,12,0,7.0,1.18,6.15,1.13
Isner J.,Murray A.,24,52,1,3.45,1.43,3.21,1.35
Sinner J.,Ymer M.,13,88,1,1.23,5.27,1.2,4.63
Humbert U.,Ruud C.,112,6,1,2.5,1.64,2.35,1.59
Kecmanovic M.,Tabilo A.,30,78,1,1.3,4.85,1.23,4.11
Basilashvili N.,Halys Q.,26,82,1,1.77,2.3,1.69,2.18
Opelka R.,Van Rijthoven T.,18,104,0,2.33,1.83,2.12,1.73
Davidovich Fokina A.,Vesely J.,37,68,0,1.67,2.51,1.59,2.37
Mannarino A.,Paul T.,86,32,0,2.5,1.74,2.26,1.64
Johnson S.,Peniston R.,93,135,1,2.23,1.84,2.1,1.74
Djokovic N.,Kokkinakis T.,3,79,1,1.06,21.0,1.02,15.05
Baez S.,Goffin D.,35,58,0,2.75,1.62,2.55,1.52
Bublik A.,Lajovic D.,38,64,1,1.28,5.07,1.21,4.45
Marterer M.,Tiafoe F.,172,28,0,5.0,1.25,4.48,1.2
Alcaraz C.,Griekspoor T.,7,53,1,1.33,4.0,1.29,3.64
Carballes Baena R.,Thompson J.,87,76,0,10.85,1.08,8.68,1.07
Jubb P.,Kyrgios N.,219,40,0,9.7,1.11,8.01,1.08
Krajinovic F.,Lehecka J.,31,72,1,1.39,3.75,1.34,3.25
Rinderknech A.,Shapovalov D.,62,16,0,3.47,1.44,3.14,1.36
Broady L.,Klein L.,132,243,1,1.76,2.28,1.7,2.16
Kudla D.,Sonego L.,75,54,0,2.1,2.0,1.91,1.89
Grenier H.,Huesler M.A.,141,105,1,2.63,1.58,2.48,1.54
Gasquet R.,Sousa J.,69,60,1,1.55,2.85,1.48,2.68
Gaston H.,Popyrin A.,66,83,1,2.88,1.59,2.52,1.53
Kuhn N.,Nakashima B.,261,56,0,11.63,1.11,9.51,1.06
Martinez P.,Molcan A.,50,51,0,3.1,1.5,2.77,1.45
Bagnis F.,Novak D.,102,153,0,5.75,1.22,5.12,1.17
Cerundolo F.,Nadal R.,41,4,0,21.0,1.04,14.7,1.03
Nishioka Y.,Ruusuvuori E.,101,49,0,6.5,1.16,5.75,1.14
Ritschard A.,Tsitsipas S.,188,5,0,18.0,1.05,13.16,1.03
Auger-Aliassime F.,Cressy M.,9,45,0,1.38,3.81,1.31,3.52
Dimitrov G.,Johnson S.,21,93,0,1.24,5.06,1.19,4.64
Kozlov S.,Schwartzman D.,107,15,0,5.5,1.25,4.55,1.2
Lopez F.,Van De Zandschulp B.,240,25,0,5.5,1.21,4.77,1.19
Balazs A.,Bautista Agut R.,331,19,0,20.0,1.04,14.85,1.02
Evans D.,Kubler J.,33,99,0,1.25,4.8,1.21,4.4
Fritz T.,Musetti L.,14,70,1,1.18,7.25,1.14,5.89
Laaksonen H.,Peniston R.,96,135,0,5.25,1.29,4.53,1.2
Brooksby J.,Kukushkin M.,34,164,1,1.51,3.1,1.43,2.83
Bonzi B.,Kolar Z.,47,119,1,1.13,10.08,1.1,7.38
Sock J.,Zapata Miralles B.,103,90,1,1.37,3.6,1.33,3.3
Opelka R.,Taberner C.,18,98,1,1.16,6.41,1.14,5.84
Gray A.,Tseng C.H.,288,95,1,2.4,1.7,2.26,1.64
Baez S.,Daniel T.,35,118,1,1.92,2.1,1.85,1.96
De Minaur A.,Dellien H.,27,80,1,1.05,18.0,1.03,12.82
Bergs Z.,Draper J.,146,94,0,3.84,1.37,3.34,1.33
Borges N.,McDonald M.,123,55,0,3.95,1.35,3.5,1.31
Albot R.,Goffin D.,113,58,0,2.72,1.6,2.52,1.53
Clarke J.,Harrison C.,156,251,0,2.27,1.78,2.16,1.7
Altmaier D.,Ymer M.,61,88,0,2.05,1.91,1.96,1.85
Galan D.E.,Koepfer D.,109,117,1,2.45,1.74,2.3,1.62
Giron M.,Rune H.,65,29,1,1.78,2.29,1.71,2.16
Garin C.,Ymer E.,43,137,1,1.59,2.71,1.52,2.52
Berankis R.,Querrey S.,106,157,1,4.88,1.26,4.33,1.22
Paul T.,Verdasco F.,32,115,1,1.22,5.75,1.19,4.82
Davidovich Fokina A.,Hurkacz H.,37,10,1,7.66,1.18,6.28,1.12
Alcaraz C.,Struff J.L.,7,155,1,1.28,4.45,1.25,3.99
Basilashvili N.,Rosol L.,26,280,1,1.35,3.75,1.3,3.51
Etcheverry T.,Humbert U.,77,112,0,6.65,1.16,5.95,1.13
Mannarino A.,Purcell M.,86,209,1,1.32,3.9,1.3,3.58
Halys Q.,Paire B.,82,73,1,1.41,3.65,1.34,3.25
Duckworth J.,Murray A.,74,52,0,6.7,1.18,5.37,1.16
Fognini F.,Griekspoor T.,63,53,0,3.5,1.38,3.26,1.34
Sinner J.,Wawrinka S.,13,267,1,1.35,3.65,1.31,3.43
Couacaud E.,Isner J.,206,24,0,5.0,1.24,4.41,1.21
Kecmanovic M.,Millman J.,30,85,1,1.46,3.13,1.4,2.93
Djokovic N.,Kwon S.W.,3,81,1,1.01,34.22,1.01,22.46
