PlayerA,PlayerB,RankA,RankB,RankDiff,Court,Surface,WinnerBinary
Kamke T.,Zverev A.,132,20,112.0,Indoor,Hard,0
Bublik A.,Carreno Busta P.,266,36,230.0,Indoor,Hard,0
Medvedev D.,Robert S.,123,52,71.0,Indoor,Hard,0
Anderson K.,Dimitrov G.,48,18,30.0,Indoor,Hard,0
Fritz T.,Schwartzman D.,70,77,-7.0,Indoor,Hard,0
Almagro N.,Del Potro J.M.,41,63,-22.0,Indoor,Hard,0
Goffin D.,Mayer F.,12,55,-43.0,Indoor,Hard,1
Elias G.,Monfils G.,61,7,54.0,Indoor,Hard,1
Albot R.,Kamke T.,103,132,-29.0,Indoor,Hard,0
Anderson K.,Harrison R.,48,105,-57.0,Indoor,Hard,1
Copil M.,Darcis S.,198,120,78.0,Indoor,Hard,1
Medvedev D.,Troicki V.,123,28,95.0,Indoor,Hard,1
Dimitrov G.,Zopp J.,18,234,-216.0,Indoor,Hard,1
Bellucci T.,Kuznetsov An.,62,45,17.0,Indoor,Hard,1
Edmund K.,Ferrer D.,43,15,28.0,Indoor,Hard,1
Brown D.,Sock J.,74,23,51.0,Indoor,Hard,0
Kohlschreiber P.,Lajovic D.,32,78,-46.0,Indoor,Hard,1
Bautista Agut R.,Bublik A.,13,266,-253.0,Indoor,Hard,0
Carreno Busta P.,Dzumhur D.,36,95,-59.0,Indoor,Hard,1
Simon G.,Struff J.L.,25,98,-73.0,Indoor,Hard,0
Haase R.,Seppi A.,60,100,-40.0,Indoor,Hard,0
Donskoy E.,Ramos-Vinolas A.,102,31,71.0,Indoor,Hard,0
Becker B.,Zopp J.,116,234,-118.0,Indoor,Hard,0
Cervantes I.,Gasquet R.,80,19,61.0,Indoor,Hard,0
Maden Y.,Simon G.,295,25,270.0,Indoor,Hard,0
Robert S.,Rosol L.,52,93,-41.0,Indoor,Hard,1
Mannarino A.,Zverev A.,53,20,33.0,Indoor,Hard,0
Karlovic I.,Ymer M.,21,549,-528.0,Indoor,Hard,1
Bublik A.,Kravchuk K.,266,79,187.0,Indoor,Hard,1
De Loore J.,Fritz T.,174,70,104.0,Indoor,Hard,0
Darcis S.,Paire B.,120,42,78.0,Indoor,Hard,1
Jaziri M.,Sock J.,57,23,34.0,Indoor,Hard,0
Del Potro J.M.,Isner J.,63,27,36.0,Indoor,Hard,1
Cuevas P.,Kovalik J.,22,128,-106.0,Indoor,Hard,1
Dzumhur D.,Khachanov K.,95,58,37.0,Indoor,Hard,1
Fognini F.,Lorenzi P.,50,38,12.0,Indoor,Hard,1
Kuznetsov An.,Pella G.,45,56,-11.0,Indoor,Hard,1
Copil M.,Sousa J.,198,33,165.0,Indoor,Hard,1
Mayer F.,Robredo T.,55,484,-429.0,Indoor,Hard,1
Berankis R.,Fognini F.,84,50,34.0,Indoor,Hard,0
Dodig I.,Elias G.,97,61,36.0,Indoor,Hard,0
Kamke T.,Ymer E.,132,161,-29.0,Indoor,Hard,1
Garcia-Lopez G.,Kovalik J.,76,128,-52.0,Indoor,Hard,0
Verdasco F.,Ymer M.,44,549,-505.0,Indoor,Hard,0
Lajovic D.,Tipsarevic J.,78,140,-62.0,Indoor,Hard,1
Brown D.,Muller G.,74,37,37.0,Indoor,Hard,1
Gaio F.,Lorenzi P.,181,38,143.0,Indoor,Hard,0
Struff J.L.,Youzhny M.,98,49,49.0,Indoor,Hard,1
Carreno Busta P.,Melzer J.,36,451,-415.0,Indoor,Hard,1
Almagro N.,Sugita Y.,41,86,-45.0,Indoor,Hard,1
Edmund K.,Marchenko I.,43,65,-22.0,Indoor,Hard,1
Mahut N.,Schwartzman D.,40,77,-37.0,Indoor,Hard,0
Kukushkin M.,Medvedev D.,90,123,-33.0,Indoor,Hard,0
Granollers M.,Robert S.,39,52,-13.0,Indoor,Hard,0
Donskoy E.,Karatsev A.,102,215,-113.0,Indoor,Hard,1
Mannarino A.,Young D.,53,82,-29.0,Indoor,Hard,1
Albot R.,Johnson S.,103,24,79.0,Indoor,Hard,1
Haase R.,Mathieu P.H.,60,64,-4.0,Indoor,Hard,1
Bellucci T.,Ilkel C.,62,325,-263.0,Indoor,Hard,1
Melzer G.,Rosol L.,71,93,-22.0,Indoor,Hard,0
Anderson K.,Baghdatis M.,48,35,13.0,Indoor,Hard,1
Berrer M.,Cervantes I.,154,80,74.0,Indoor,Hard,0
Delbonis F.,Seppi A.,47,100,-53.0,Indoor,Hard,0
Harrison R.,Pavlasek A.,105,89,16.0,Indoor,Hard,1
Bautista Agut R.,Murray A.,19,2,17.0,Outdoor,Hard,0
Bautista Agut R.,Djokovic N.,19,1,18.0,Outdoor,Hard,1
Murray A.,Simon G.,2,32,-30.0,Outdoor,Hard,1
Bautista Agut R.,Tsonga J.W.,19,13,6.0,Outdoor,Hard,1
Goffin D.,Murray A.,12,2,10.0,Outdoor,Hard,0
Simon G.,Sock J.,32,25,7.0,Outdoor,Hard,1
Djokovic N.,Zverev M.,1,110,-109.0,Outdoor,Hard,1
Tsonga J.W.,Zverev A.,13,21,-8.0,Outdoor,Hard,1
Raonic M.,Sock J.,6,25,-19.0,Outdoor,Hard,0
Djokovic N.,Pospisil V.,1,131,-130.0,Outdoor,Hard,1
Simon G.,Wawrinka S.,32,3,29.0,Outdoor,Hard,1
Bautista Agut R.,Troicki V.,19,31,-12.0,Outdoor,Hard,1
Murray A.,Pouille L.,2,16,-14.0,Outdoor,Hard,1
Goffin D.,Monfils G.,12,8,4.0,Outdoor,Hard,1
Granollers M.,Zverev M.,43,110,-67.0,Outdoor,Hard,0
Goffin D.,Paire B.,12,47,-35.0,Outdoor,Hard,1
Edmund K.,Wawrinka S.,48,3,45.0,Outdoor,Hard,0
Lorenzi P.,Raonic M.,37,6,31.0,Outdoor,Hard,0
Johnson S.,Murray A.,24,2,22.0,Outdoor,Hard,0
Kyrgios N.,Zverev M.,14,110,-96.0,Outdoor,Hard,0
Simon G.,Wu D.,32,182,-150.0,Outdoor,Hard,1
Bautista Agut R.,Fritz T.,19,71,-52.0,Outdoor,Hard,1
Nadal R.,Troicki V.,5,31,-26.0,Outdoor,Hard,0
Almagro N.,Pouille L.,45,16,29.0,Outdoor,Hard,0
Lopez F.,Sock J.,28,25,3.0,Outdoor,Hard,0
Berdych T.,Granollers M.,9,43,-34.0,Outdoor,Hard,0
Dimitrov G.,Pospisil V.,18,131,-113.0,Outdoor,Hard,0
Dimitrov G.,Gasquet R.,18,17,1.0,Outdoor,Hard,1
Kyrgios N.,Querrey S.,14,29,-15.0,Outdoor,Hard,1
Djokovic N.,Fognini F.,1,50,-49.0,Outdoor,Hard,1
Carreno Busta P.,Simon G.,35,32,3.0,Outdoor,Hard,0
Pouille L.,Verdasco F.,16,44,-28.0,Outdoor,Hard,1
Anderson K.,Monfils G.,40,8,32.0,Outdoor,Hard,0
Cilic M.,Zverev A.,11,21,-10.0,Outdoor,Hard,0
Del Potro J.M.,Goffin D.,63,12,51.0,Outdoor,Hard,0
Tipsarevic J.,Tsonga J.W.,158,13,145.0,Outdoor,Hard,0
Ferrer D.,Lopez F.,15,28,-13.0,Outdoor,Hard,0
Granollers M.,Sugita Y.,43,91,-48.0,Outdoor,Hard,1
Garcia-Lopez G.,Lorenzi P.,75,37,38.0,Outdoor,Hard,0
Pella G.,Sock J.,55,25,30.0,Outdoor,Hard,0
Bautista Agut R.,Tomic B.,19,23,-4.0,Outdoor,Hard,1
Delbonis F.,Edmund K.,46,48,-2.0,Outdoor,Hard,0
Isner J.,Zverev A.,26,21,5.0,Outdoor,Hard,0
Mayer F.,Tsonga J.W.,58,13,45.0,Outdoor,Hard,0
Zhang Ze,Zverev M.,197,110,87.0,Outdoor,Hard,0
Johnson S.,Klizan M.,24,33,-9.0,Outdoor,Hard,1
Karlovic I.,Pospisil V.,20,131,-111.0,Outdoor,Hard,0
Almagro N.,Youzhny M.,45,51,-6.0,Outdoor,Hard,1
Fritz T.,Robert S.,71,53,18.0,Outdoor,Hard,1
Rosol L.,Troicki V.,94,31,63.0,Outdoor,Hard,0
Paire B.,Sousa J.,47,34,13.0,Outdoor,Hard,1
Kohlschreiber P.,Tipsarevic J.,30,158,-128.0,Outdoor,Hard,0
Anderson K.,Li Z.,40,251,-211.0,Outdoor,Hard,1
Fognini F.,Ramos-Vinolas A.,50,27,23.0,Outdoor,Hard,1
Goffin D.,Kyrgios N.,14,15,-1.0,Outdoor,Hard,0
Dimitrov G.,Murray A.,20,2,18.0,Outdoor,Hard,0
Cuevas P.,Wu D.,22,182,-160.0,Outdoor,Hard,0
Cilic M.,Goffin D.,11,14,-3.0,Outdoor,Hard,0
Kyrgios N.,Monfils G.,15,8,7.0,Outdoor,Hard,1
Ferrer D.,Murray A.,13,2,11.0,Outdoor,Hard,0
Dimitrov G.,Raonic M.,20,6,14.0,Outdoor,Hard,1
Goffin D.,Sousa J.,14,34,-20.0,Outdoor,Hard,1
Kyrgios N.,Muller G.,15,36,-21.0,Outdoor,Hard,1
Jaziri M.,Raonic M.,50,6,44.0,Outdoor,Hard,0
Cilic M.,Monaco J.,11,89,-78.0,Outdoor,Hard,1
Edmund K.,Murray A.,54,2,52.0,Outdoor,Hard,0
Carreno Busta P.,Gasquet R.,38,17,21.0,Outdoor,Hard,1
Ferrer D.,Zverev A.,13,24,-11.0,Outdoor,Hard,1
Karlovic I.,Monfils G.,21,8,13.0,Outdoor,Hard,0
Carreno Busta P.,Raonic M.,38,6,32.0,Outdoor,Hard,0
Dimitrov G.,Nadal R.,20,4,16.0,Outdoor,Hard,1
Monfils G.,Simon G.,8,30,-22.0,Outdoor,Hard,1
Dimitrov G.,Pouille L.,20,16,4.0,Outdoor,Hard,1
Mannarino A.,Nadal R.,64,4,60.0,Outdoor,Hard,0
Kyrgios N.,Stepanek R.,15,106,-91.0,Outdoor,Hard,1
Karlovic I.,Tipsarevic J.,21,173,-152.0,Outdoor,Hard,1
Baghdatis M.,Muller G.,35,36,-1.0,Outdoor,Hard,0
Nishikori K.,Sousa J.,5,34,-29.0,Outdoor,Hard,0
Sock J.,Zverev A.,25,24,1.0,Outdoor,Hard,0
Kuznetsov An.,Murray A.,45,2,43.0,Outdoor,Hard,0
Carreno Busta P.,Tomic B.,38,22,16.0,Outdoor,Hard,1
Jaziri M.,Pella G.,50,57,-7.0,Outdoor,Hard,1
Ferrer D.,Fognini F.,13,43,-30.0,Outdoor,Hard,1
Berdych T.,Muller G.,9,36,-27.0,Outdoor,Hard,0
Duckworth J.,Monaco J.,175,89,86.0,Outdoor,Hard,0
Gasquet R.,Querrey S.,17,29,-12.0,Outdoor,Hard,1
Dimitrov G.,Johnson S.,20,23,-3.0,Outdoor,Hard,1
Mannarino A.,Ramos-Vinolas A.,64,27,37.0,Outdoor,Hard,1
Bautista Agut R.,Edmund K.,18,54,-36.0,Outdoor,Hard,0
Cilic M.,Verdasco F.,11,46,-35.0,Outdoor,Hard,1
Goffin D.,Vesely J.,14,52,-38.0,Outdoor,Hard,1
Kohlschreiber P.,Simon G.,31,30,1.0,Outdoor,Hard,0
Robert S.,Stepanek R.,53,106,-53.0,Outdoor,Hard,0
Daniel T.,Tipsarevic J.,91,173,-82.0,Outdoor,Hard,0
Lorenzi P.,Nadal R.,39,4,35.0,Outdoor,Hard,0
Kravchuk K.,Kuznetsov An.,99,45,54.0,Outdoor,Hard,0
Goffin D.,Nishioka Y.,14,96,-82.0,Outdoor,Hard,1
Harrison R.,Kyrgios N.,107,15,92.0,Outdoor,Hard,0
Anderson K.,Vesely J.,41,52,-11.0,Outdoor,Hard,0
Thiem D.,Zverev A.,10,24,-14.0,Outdoor,Hard,0
Delbonis F.,Karlovic I.,47,21,26.0,Outdoor,Hard,0
Fognini F.,Troicki V.,43,32,11.0,Outdoor,Hard,1
Mayer F.,Raonic M.,60,6,54.0,Outdoor,Hard,0
Baghdatis M.,Granollers M.,35,44,-9.0,Outdoor,Hard,1
Fritz T.,Monaco J.,58,89,-31.0,Outdoor,Hard,0
Monfils G.,Sugita Y.,8,92,-84.0,Outdoor,Hard,1
Murray A.,Seppi A.,2,94,-92.0,Outdoor,Hard,1
Sock J.,Zhang Ze,25,180,-155.0,Outdoor,Hard,1
Duckworth J.,Lopez F.,175,28,147.0,Outdoor,Hard,1
Cuevas P.,Ferrer D.,19,13,6.0,Outdoor,Hard,0
Edmund K.,Garcia-Lopez G.,54,73,-19.0,Outdoor,Hard,1
Klizan M.,Sousa J.,33,34,-1.0,Outdoor,Hard,0
Nishikori K.,Young D.,5,81,-76.0,Outdoor,Hard,1
Soeda G.,Verdasco F.,131,46,85.0,Outdoor,Hard,0
Lu Y.H.,Pouille L.,63,16,47.0,Outdoor,Hard,0
Bautista Agut R.,Millman J.,18,68,-50.0,Outdoor,Hard,1
Cilic M.,Paire B.,11,37,-26.0,Outdoor,Hard,1
Berdych T.,Gasquet R.,9,18,-9.0,Outdoor,Hard,1
Khachanov K.,Ramos-Vinolas A.,101,31,70.0,Outdoor,Hard,1
Bellucci T.,Berdych T.,81,9,72.0,Outdoor,Hard,0
Dimitrov G.,Ramos-Vinolas A.,21,31,-10.0,Outdoor,Hard,0
Khachanov K.,Troicki V.,101,32,69.0,Outdoor,Hard,1
Gasquet R.,Tipsarevic J.,18,224,-206.0,Outdoor,Hard,1
Bellucci T.,Tomic B.,81,22,59.0,Outdoor,Hard,1
Dimitrov G.,Schwartzman D.,21,70,-49.0,Outdoor,Hard,1
Anderson K.,Troicki V.,45,32,13.0,Outdoor,Hard,0
Khachanov K.,Lopez F.,101,27,74.0,Outdoor,Hard,1
Ramos-Vinolas A.,Thiem D.,31,10,21.0,Outdoor,Hard,1
Gasquet R.,Zverev M.,18,120,-102.0,Outdoor,Hard,1
Berdych T.,Vesely J.,9,52,-43.0,Outdoor,Hard,1
Jaziri M.,Tipsarevic J.,55,224,-169.0,Outdoor,Hard,0
Cervantes I.,Vesely J.,77,52,25.0,Outdoor,Hard,0
Thiem D.,Wu D.,10,193,-183.0,Outdoor,Hard,1
Baghdatis M.,Troicki V.,36,32,4.0,Outdoor,Hard,0
Harrison R.,Tomic B.,115,22,93.0,Outdoor,Hard,0
Anderson K.,Kyrgios N.,45,15,30.0,Outdoor,Hard,1
Bellucci T.,Fabbiano T.,81,114,-33.0,Outdoor,Hard,1
Berdych T.,Kukushkin M.,9,80,-71.0,Outdoor,Hard,1
Lu Y.H.,Ramos-Vinolas A.,63,31,32.0,Outdoor,Hard,0
Lopez F.,Monaco J.,27,93,-66.0,Outdoor,Hard,1
Lorenzi P.,Schwartzman D.,35,70,-35.0,Outdoor,Hard,0
Kravchuk K.,Wu D.,96,193,-97.0,Outdoor,Hard,0
Gasquet R.,Whittington A.,18,190,-172.0,Outdoor,Hard,1
Fognini F.,Zverev M.,43,120,-77.0,Outdoor,Hard,0
Dimitrov G.,Lajovic D.,21,73,-52.0,Outdoor,Hard,1
Khachanov K.,Mannarino A.,101,62,39.0,Outdoor,Hard,1
Paire B.,Tipsarevic J.,38,224,-186.0,Outdoor,Hard,0
Baghdatis M.,Carreno Busta P.,36,39,-3.0,Outdoor,Hard,1
Ruud C.,Troicki V.,258,32,226.0,Outdoor,Hard,0
Goffin D.,Jaziri M.,14,55,-41.0,Outdoor,Hard,0
Berrer M.,Ramos-Vinolas A.,150,31,119.0,Outdoor,Hard,0
Fabbiano T.,Nishioka Y.,114,97,17.0,Outdoor,Hard,1
Lorenzi P.,Millman J.,35,66,-31.0,Outdoor,Hard,1
Anderson K.,Thompson J.,45,98,-53.0,Outdoor,Hard,1
Bellucci T.,Elias G.,81,61,20.0,Outdoor,Hard,1
Garcia-Lopez G.,Harrison R.,57,115,-58.0,Outdoor,Hard,0
Tipsarevic J.,Zhang Ze,224,179,45.0,Outdoor,Hard,1
Khachanov K.,Sousa J.,101,34,67.0,Outdoor,Hard,1
Delbonis F.,Lajovic D.,41,73,-32.0,Outdoor,Hard,0
Kudla D.,Mannarino A.,131,62,69.0,Outdoor,Hard,0
Kukushkin M.,Rosol L.,80,85,-5.0,Outdoor,Hard,1
Jaziri M.,Robert S.,55,53,2.0,Outdoor,Hard,1
Cervantes I.,Santillan A.,77,232,-155.0,Outdoor,Hard,1
Andujar P.,Vesely J.,436,52,384.0,Outdoor,Hard,0
Lu Y.H.,Stepanek R.,63,105,-42.0,Outdoor,Hard,1
Basilashvili N.,Paire B.,103,38,65.0,Outdoor,Hard,0
Monaco J.,Moriya H.,93,178,-85.0,Outdoor,Hard,1
Li Z.,Zverev M.,233,120,113.0,Outdoor,Hard,0
Fognini F.,Sela D.,43,69,-26.0,Outdoor,Hard,1
Vanni L.,Whittington A.,172,190,-18.0,Outdoor,Hard,0
Ram R.,Schwartzman D.,111,70,41.0,Outdoor,Hard,0
Pouille L.,Thiem D.,18,10,8.0,Indoor,Hard,1
Wawrinka S.,Zverev A.,3,27,-24.0,Indoor,Hard,0
Berdych T.,Zverev A.,9,27,-18.0,Indoor,Hard,0
Bautista Agut R.,Wawrinka S.,16,3,13.0,Indoor,Hard,0
Goffin D.,Pouille L.,14,18,-4.0,Indoor,Hard,0
Simon G.,Thiem D.,28,10,18.0,Indoor,Hard,0
Goffin D.,Mahut N.,14,40,-26.0,Indoor,Hard,1
Youzhny M.,Zverev A.,53,27,26.0,Indoor,Hard,0
Berdych T.,Lorenzi P.,9,35,-26.0,Indoor,Hard,1
Troicki V.,Wawrinka S.,33,3,30.0,Indoor,Hard,0
Jaziri M.,Simon G.,55,28,27.0,Indoor,Hard,0
Bautista Agut R.,Sousa J.,16,34,-18.0,Indoor,Hard,1
Muller G.,Thiem D.,37,10,27.0,Indoor,Hard,0
Benneteau J.,Pouille L.,238,18,220.0,Indoor,Hard,0
Rublev A.,Sousa J.,201,34,167.0,Indoor,Hard,0
Garcia-Lopez G.,Simon G.,57,28,29.0,Indoor,Hard,0
Herbert P.H.,Pouille L.,108,18,90.0,Indoor,Hard,0
Berdych T.,Kuznetsov An.,9,46,-37.0,Indoor,Hard,1
Raonic M.,Youzhny M.,6,53,-47.0,Indoor,Hard,0
Jaziri M.,Millot V.,55,162,-107.0,Indoor,Hard,1
Medvedev D.,Zverev A.,144,27,117.0,Indoor,Hard,0
Goffin D.,Struff J.L.,14,87,-73.0,Indoor,Hard,1
Lajovic D.,Troicki V.,73,33,40.0,Indoor,Hard,0
Mahut N.,Marchenko I.,40,50,-10.0,Indoor,Hard,1
Lorenzi P.,Sidorenko A.,35,255,-220.0,Indoor,Hard,1
Tipsarevic J.,Youzhny M.,227,53,174.0,Indoor,Hard,0
Donskoy E.,Kuznetsov An.,90,46,44.0,Indoor,Hard,0
Robredo T.,Struff J.L.,251,87,164.0,Indoor,Hard,0
Kukushkin M.,Rublev A.,79,201,-122.0,Indoor,Hard,0
Basilashvili N.,Muller G.,106,37,69.0,Indoor,Hard,0
Benneteau J.,Brown D.,238,68,170.0,Indoor,Hard,1
Halys Q.,Mahut N.,154,40,114.0,Indoor,Hard,0
Elias G.,Troicki V.,61,33,28.0,Indoor,Hard,0
Rosol L.,Wawrinka S.,85,3,82.0,Indoor,Hard,0
Cervantes I.,Herbert P.H.,77,108,-31.0,Indoor,Hard,0
Albot R.,Sousa J.,101,34,67.0,Indoor,Hard,0
Bautista Agut R.,Berankis R.,16,83,-67.0,Indoor,Hard,1
Marchenko I.,Seppi A.,50,92,-42.0,Indoor,Hard,1
Dodig I.,Jaziri M.,89,55,34.0,Indoor,Hard,0
Gojowczyk P.,Thiem D.,209,10,199.0,Indoor,Hard,0
Millot V.,Paire B.,162,38,124.0,Indoor,Hard,1
Brown D.,Mathieu P.H.,68,69,-1.0,Indoor,Hard,1
Bublik A.,Medvedev D.,323,144,179.0,Indoor,Hard,0
Ramos-Vinolas A.,Sidorenko A.,32,255,-223.0,Indoor,Hard,0
Lajovic D.,Verdasco F.,73,47,26.0,Indoor,Hard,1
Dzumhur D.,Garcia-Lopez G.,74,57,17.0,Indoor,Hard,0
Almagro N.,Gojowczyk P.,48,209,-161.0,Indoor,Hard,0
Lorenzi P.,Zverev M.,35,117,-82.0,Indoor,Hard,1
Barrere G.,Basilashvili N.,202,106,96.0,Indoor,Hard,0
Rosol L.,Schwartzman D.,85,63,22.0,Indoor,Hard,1
Benneteau J.,Klizan M.,238,31,207.0,Indoor,Hard,1
Khachanov K.,Zverev A.,102,27,75.0,Indoor,Hard,0
Berankis R.,Mannarino A.,83,62,21.0,Indoor,Hard,1
Muller G.,Zeballos H.,37,66,-29.0,Indoor,Hard,1
Djokovic N.,Wawrinka S.,1,3,-2.0,Outdoor,Hard,0
Djokovic N.,Monfils G.,1,12,-11.0,Outdoor,Hard,1
Nishikori K.,Wawrinka S.,7,3,4.0,Outdoor,Hard,0
Del Potro J.M.,Wawrinka S.,142,3,139.0,Outdoor,Hard,0
Djokovic N.,Tsonga J.W.,1,11,-10.0,Outdoor,Hard,1
Murray A.,Nishikori K.,2,7,-5.0,Outdoor,Hard,0
Dimitrov G.,Murray A.,24,2,22.0,Outdoor,Hard,0
Monfils G.,Pouille L.,12,25,-13.0,Outdoor,Hard,1
Karlovic I.,Nishikori K.,23,7,16.0,Outdoor,Hard,0
Del Potro J.M.,Thiem D.,142,10,132.0,Outdoor,Hard,1
Marchenko I.,Wawrinka S.,63,3,60.0,Outdoor,Hard,0
Djokovic N.,Edmund K.,1,84,-83.0,Outdoor,Hard,1
Nadal R.,Pouille L.,5,25,-20.0,Outdoor,Hard,0
Baghdatis M.,Monfils G.,44,12,32.0,Outdoor,Hard,0
Donaldson J.,Karlovic I.,122,23,99.0,Outdoor,Hard,0
Kyrgios N.,Marchenko I.,16,63,-47.0,Outdoor,Hard,0
Sock J.,Tsonga J.W.,27,11,16.0,Outdoor,Hard,0
Lorenzi P.,Murray A.,40,2,38.0,Outdoor,Hard,0
Kuznetsov An.,Nadal R.,47,5,42.0,Outdoor,Hard,0
Del Potro J.M.,Ferrer D.,142,13,129.0,Outdoor,Hard,1
Mahut N.,Nishikori K.,42,7,35.0,Outdoor,Hard,0
Dimitrov G.,Sousa J.,24,36,-12.0,Outdoor,Hard,1
Carreno Busta P.,Thiem D.,39,10,29.0,Outdoor,Hard,0
Evans D.,Wawrinka S.,64,3,61.0,Outdoor,Hard,0
Baghdatis M.,Harrison R.,44,120,-76.0,Outdoor,Hard,1
Del Potro J.M.,Johnson S.,142,22,120.0,Outdoor,Hard,1
Kyrgios N.,Zeballos H.,16,71,-55.0,Outdoor,Hard,1
Karlovic I.,Young D.,23,56,-33.0,Outdoor,Hard,1
Anderson K.,Tsonga J.W.,35,11,24.0,Outdoor,Hard,0
Cilic M.,Sock J.,9,27,-18.0,Outdoor,Hard,0
Djokovic N.,Youzhny M.,1,61,-60.0,Outdoor,Hard,1
Dzumhur D.,Marchenko I.,72,63,9.0,Outdoor,Hard,0
Evans D.,Zverev A.,64,28,36.0,Outdoor,Hard,1
Edmund K.,Isner J.,84,21,63.0,Outdoor,Hard,1
Bautista Agut R.,Pouille L.,17,25,-8.0,Outdoor,Hard,0
Chardy J.,Dimitrov G.,55,24,31.0,Outdoor,Hard,0
Ferrer D.,Fognini F.,13,38,-25.0,Outdoor,Hard,1
Giannessi A.,Wawrinka S.,243,3,240.0,Outdoor,Hard,0
Almagro N.,Monfils G.,48,12,36.0,Outdoor,Hard,0
Berankis R.,Thiem D.,89,10,79.0,Outdoor,Hard,0
Granollers M.,Murray A.,45,2,43.0,Outdoor,Hard,0
Mahut N.,Mathieu P.H.,42,70,-28.0,Outdoor,Hard,1
Donaldson J.,Troicki V.,122,32,90.0,Outdoor,Hard,1
Nadal R.,Seppi A.,5,87,-82.0,Outdoor,Hard,1
Khachanov K.,Nishikori K.,95,7,88.0,Outdoor,Hard,0
Lopez F.,Sousa J.,18,36,-18.0,Outdoor,Hard,0
Carreno Busta P.,Tipsarevic J.,39,250,-211.0,Outdoor,Hard,1
Lorenzi P.,Simon G.,40,31,9.0,Outdoor,Hard,1
Almagro N.,Cuevas P.,48,20,28.0,Outdoor,Hard,1
Sock J.,Zverev M.,27,127,-100.0,Outdoor,Hard,1
Murray A.,Rosol L.,2,81,-79.0,Outdoor,Hard,1
Monfils G.,Satral J.,12,226,-214.0,Outdoor,Hard,1
Anderson K.,Pospisil V.,35,123,-88.0,Outdoor,Hard,1
Edmund K.,Escobedo E.,84,201,-117.0,Outdoor,Hard,1
Pella G.,Youzhny M.,51,61,-10.0,Outdoor,Hard,0
Kuznetsov An.,Ramos-Vinolas A.,47,33,14.0,Outdoor,Hard,1
Cilic M.,Stakhovsky S.,9,92,-83.0,Outdoor,Hard,1
Djokovic N.,Vesely J.,1,49,-48.0,Outdoor,Hard,1
Bautista Agut R.,Delbonis F.,17,43,-26.0,Outdoor,Hard,1
Harrison R.,Raonic M.,120,6,114.0,Outdoor,Hard,1
Duckworth J.,Tsonga J.W.,195,11,184.0,Outdoor,Hard,0
Darcis S.,Isner J.,106,21,85.0,Outdoor,Hard,0
Baghdatis M.,Paire B.,44,34,10.0,Outdoor,Hard,1
Dodig I.,Marchenko I.,74,63,11.0,Outdoor,Hard,0
Chiudinelli M.,Pouille L.,144,25,119.0,Outdoor,Hard,0
Fabbiano T.,Khachanov K.,111,95,16.0,Outdoor,Hard,0
Estrella Burgos V.,Sousa J.,83,36,47.0,Outdoor,Hard,0
Bedene A.,Kyrgios N.,77,16,61.0,Outdoor,Hard,0
Simon G.,Stepanek R.,31,113,-82.0,Outdoor,Hard,1
Berlocq C.,Lorenzi P.,76,40,36.0,Outdoor,Hard,0
Harrison C.,Mathieu P.H.,694,70,624.0,Outdoor,Hard,0
Chardy J.,Mmoh M.,55,384,-329.0,Outdoor,Hard,1
Verdasco F.,Wawrinka S.,46,3,43.0,Outdoor,Hard,0
Brown D.,Raonic M.,86,6,80.0,Outdoor,Hard,0
Granollers M.,Monaco J.,45,94,-49.0,Outdoor,Hard,1
Carreno Busta P.,Ivashka I.,39,182,-143.0,Outdoor,Hard,1
Mayer F.,Zeballos H.,58,71,-13.0,Outdoor,Hard,0
Cervantes I.,Dimitrov G.,75,24,51.0,Outdoor,Hard,0
Del Potro J.M.,Schwartzman D.,142,69,73.0,Outdoor,Hard,1
Coric B.,Lopez F.,41,18,23.0,Outdoor,Hard,0
Dolgopolov O.,Ferrer D.,57,13,44.0,Outdoor,Hard,0
Kohlschreiber P.,Mahut N.,26,42,-16.0,Outdoor,Hard,0
Berankis R.,Jaziri M.,89,68,21.0,Outdoor,Hard,1
Donaldson J.,Goffin D.,122,14,108.0,Outdoor,Hard,1
Djokovic N.,Janowicz J.,1,247,-246.0,Outdoor,Hard,1
Evans D.,Ram R.,64,104,-40.0,Outdoor,Hard,1
Querrey S.,Tipsarevic J.,30,250,-220.0,Outdoor,Hard,0
Struff J.L.,Young D.,78,56,22.0,Outdoor,Hard,0
Brands D.,Zverev A.,153,28,125.0,Outdoor,Hard,0
Dzumhur D.,Tomic B.,72,19,53.0,Outdoor,Hard,1
Donskoy E.,Johnson S.,79,22,57.0,Outdoor,Hard,0
Millman J.,Thiem D.,66,10,56.0,Outdoor,Hard,0
Fognini F.,Gabashvili T.,38,105,-67.0,Outdoor,Hard,1
Giannessi A.,Kudla D.,243,128,115.0,Outdoor,Hard,1
Karlovic I.,Lu Y.H.,23,73,-50.0,Outdoor,Hard,1
Albot R.,Troicki V.,97,32,65.0,Outdoor,Hard,0
Becker B.,Nishikori K.,96,7,89.0,Outdoor,Hard,0
Cuevas P.,Sela D.,20,80,-60.0,Outdoor,Hard,1
Kovalik J.,Pospisil V.,126,123,3.0,Outdoor,Hard,0
Istomin D.,Nadal R.,107,5,102.0,Outdoor,Hard,0
Fratangelo B.,Pella G.,115,51,64.0,Outdoor,Hard,0
Edmund K.,Gasquet R.,84,15,69.0,Outdoor,Hard,1
